particle_diameter_1
6e-06
9.894736842105264e-06
1.3789473684210528e-05
1.768421052631579e-05
2.1578947368421056e-05
2.5473684210526318e-05
2.9368421052631584e-05
3.3263157894736846e-05
3.715789473684211e-05
4.105263157894737e-05
4.494736842105263e-05
4.884210526315791e-05
5.273684210526317e-05
5.663157894736843e-05
6.0526315789473695e-05
6.442105263157896e-05
6.831578947368422e-05
7.221052631578948e-05
7.610526315789474e-05
8e-05
