particle_diameter_1,particle_diameter_2
3.705263157894737e-05,2.2894736842105262e-07
3.705263157894737e-05,2.736842105263158e-07
3.705263157894737e-05,3.184210526315789e-07
3.705263157894737e-05,3.631578947368421e-07
3.705263157894737e-05,4.0789473684210524e-07
3.705263157894737e-05,4.526315789473684e-07
3.705263157894737e-05,4.973684210526316e-07
3.705263157894737e-05,5.421052631578948e-07
3.705263157894737e-05,5.868421052631579e-07
3.705263157894737e-05,6.31578947368421e-07
3.705263157894737e-05,6.763157894736841e-07
3.705263157894737e-05,7.210526315789474e-07
3.705263157894737e-05,7.657894736842105e-07
3.705263157894737e-05,8.105263157894736e-07
3.705263157894737e-05,8.552631578947367e-07
3.705263157894737e-05,9e-07
3.921052631578948e-05,5e-08
3.921052631578948e-05,9.473684210526316e-08
3.921052631578948e-05,1.3947368421052632e-07
3.921052631578948e-05,1.8421052631578946e-07
3.921052631578948e-05,2.2894736842105262e-07
3.921052631578948e-05,2.736842105263158e-07
3.921052631578948e-05,3.184210526315789e-07
3.921052631578948e-05,3.631578947368421e-07
3.921052631578948e-05,4.0789473684210524e-07
3.921052631578948e-05,4.526315789473684e-07
3.921052631578948e-05,4.973684210526316e-07
3.921052631578948e-05,5.421052631578948e-07
3.921052631578948e-05,5.868421052631579e-07
3.921052631578948e-05,6.31578947368421e-07
3.921052631578948e-05,6.763157894736841e-07
3.921052631578948e-05,7.210526315789474e-07
3.921052631578948e-05,7.657894736842105e-07
3.921052631578948e-05,8.105263157894736e-07
3.921052631578948e-05,8.552631578947367e-07
3.921052631578948e-05,9e-07
4.1368421052631584e-05,5e-08
4.1368421052631584e-05,9.473684210526316e-08
4.1368421052631584e-05,1.3947368421052632e-07
4.1368421052631584e-05,1.8421052631578946e-07
4.1368421052631584e-05,2.2894736842105262e-07
4.1368421052631584e-05,2.736842105263158e-07
4.1368421052631584e-05,3.184210526315789e-07
4.1368421052631584e-05,3.631578947368421e-07
4.1368421052631584e-05,4.0789473684210524e-07
4.1368421052631584e-05,4.526315789473684e-07
4.1368421052631584e-05,4.973684210526316e-07
4.1368421052631584e-05,5.421052631578948e-07
4.1368421052631584e-05,5.868421052631579e-07
4.1368421052631584e-05,6.31578947368421e-07
4.1368421052631584e-05,6.763157894736841e-07
4.1368421052631584e-05,7.210526315789474e-07
4.1368421052631584e-05,7.657894736842105e-07
4.1368421052631584e-05,8.105263157894736e-07
4.1368421052631584e-05,8.552631578947367e-07
4.1368421052631584e-05,9e-07
4.352631578947369e-05,5e-08
4.352631578947369e-05,9.473684210526316e-08
4.352631578947369e-05,1.3947368421052632e-07
4.352631578947369e-05,1.8421052631578946e-07
4.352631578947369e-05,2.2894736842105262e-07
4.352631578947369e-05,2.736842105263158e-07
4.352631578947369e-05,3.184210526315789e-07
4.352631578947369e-05,3.631578947368421e-07
4.352631578947369e-05,4.0789473684210524e-07
4.352631578947369e-05,4.526315789473684e-07
4.352631578947369e-05,4.973684210526316e-07
4.352631578947369e-05,5.421052631578948e-07
4.352631578947369e-05,5.868421052631579e-07
4.352631578947369e-05,6.31578947368421e-07
4.352631578947369e-05,6.763157894736841e-07
4.352631578947369e-05,7.210526315789474e-07
4.352631578947369e-05,7.657894736842105e-07
4.352631578947369e-05,8.105263157894736e-07
4.352631578947369e-05,8.552631578947367e-07
4.352631578947369e-05,9e-07
4.568421052631579e-05,5e-08
4.568421052631579e-05,9.473684210526316e-08
4.568421052631579e-05,1.3947368421052632e-07
4.568421052631579e-05,1.8421052631578946e-07
4.568421052631579e-05,2.2894736842105262e-07
4.568421052631579e-05,2.736842105263158e-07
4.568421052631579e-05,3.184210526315789e-07
4.568421052631579e-05,3.631578947368421e-07
4.568421052631579e-05,4.0789473684210524e-07
4.568421052631579e-05,4.526315789473684e-07
4.568421052631579e-05,4.973684210526316e-07
4.568421052631579e-05,5.421052631578948e-07
4.568421052631579e-05,5.868421052631579e-07
4.568421052631579e-05,6.31578947368421e-07
4.568421052631579e-05,6.763157894736841e-07
4.568421052631579e-05,7.210526315789474e-07
4.568421052631579e-05,7.657894736842105e-07
4.568421052631579e-05,8.105263157894736e-07
4.568421052631579e-05,8.552631578947367e-07
4.568421052631579e-05,9e-07
4.78421052631579e-05,5e-08
4.78421052631579e-05,9.473684210526316e-08
4.78421052631579e-05,1.3947368421052632e-07
4.78421052631579e-05,1.8421052631578946e-07
4.78421052631579e-05,2.2894736842105262e-07
4.78421052631579e-05,2.736842105263158e-07
4.78421052631579e-05,3.184210526315789e-07
4.78421052631579e-05,3.631578947368421e-07
4.78421052631579e-05,4.0789473684210524e-07
4.78421052631579e-05,4.526315789473684e-07
4.78421052631579e-05,4.973684210526316e-07
4.78421052631579e-05,5.421052631578948e-07
4.78421052631579e-05,5.868421052631579e-07
4.78421052631579e-05,6.31578947368421e-07
4.78421052631579e-05,6.763157894736841e-07
4.78421052631579e-05,7.210526315789474e-07
4.78421052631579e-05,7.657894736842105e-07
4.78421052631579e-05,8.105263157894736e-07
4.78421052631579e-05,8.552631578947367e-07
4.78421052631579e-05,9e-07
5e-05,5e-08
5e-05,9.473684210526316e-08
5e-05,1.3947368421052632e-07
5e-05,1.8421052631578946e-07
5e-05,2.2894736842105262e-07
5e-05,2.736842105263158e-07
5e-05,3.184210526315789e-07
5e-05,3.631578947368421e-07
5e-05,4.0789473684210524e-07
5e-05,4.526315789473684e-07
5e-05,4.973684210526316e-07
5e-05,5.421052631578948e-07
5e-05,5.868421052631579e-07
5e-05,6.31578947368421e-07
5e-05,6.763157894736841e-07
5e-05,7.210526315789474e-07
5e-05,7.657894736842105e-07
5e-05,8.105263157894736e-07
5e-05,8.552631578947367e-07
5e-05,9e-07
