time,inlet-p
380,363325.88
381,363325.88
382,363325.88
383,363325.88
384,363325.88
385,363325.88
386,363325.88
387,356431.12
388,356431.12
389,356431.12
390,356431.12
391,356431.12
392,356431.12
393,356431.12
394,349536.36
395,349536.36
396,349536.36
397,349536.36
398,349536.36
399,349536.36
400,349536.36
401,342641.6
402,342641.6
403,342641.6
404,342641.6
405,342641.6
406,342641.6
407,342641.6
408,335746.84
409,335746.84
410,335746.84
411,335746.84
412,335746.84
413,335746.84
414,335746.84
415,335746.84
416,328852.08
417,328852.08
418,328852.08
419,328852.08
420,328852.08
421,328852.08
422,328852.08
423,328852.08
424,321957.32
425,321957.32
426,321957.32
427,321957.32
428,321957.32
429,321957.32
430,321957.32
431,321957.32
432,315062.56
433,315062.56
434,315062.56
435,315062.56
436,315062.56
437,315062.56
438,315062.56
439,315062.56
440,315062.56
441,308167.8
442,308167.8
443,308167.8
444,308167.8
445,308167.8
446,308167.8
447,308167.8
448,308167.8
449,308167.8
450,308167.8
451,301273.04
452,301273.04
453,301273.04
454,301273.04
455,301273.04
456,301273.04
457,301273.04
458,301273.04
459,301273.04
460,294378.28
461,294378.28
462,294378.28
463,294378.28
464,294378.28
465,294378.28
466,294378.28
467,294378.28
468,294378.28
469,294378.28
470,294378.28
471,287483.52
472,287483.52
473,287483.52
474,287483.52
475,287483.52
476,287483.52
477,287483.52
478,287483.52
479,287483.52
480,287483.52
481,280588.76
482,280588.76
483,280588.76
484,280588.76
485,280588.76
486,280588.76
487,280588.76
488,280588.76
489,280588.76
490,280588.76
491,280588.76
492,280588.76
493,273694
494,273694
495,273694
496,273694
497,273694
498,273694
499,273694
500,273694
501,273694
502,273694
503,273694
504,273694
505,266799.24
506,266799.24
507,266799.24
508,266799.24
509,266799.24
510,266799.24
511,266799.24
512,266799.24
513,266799.24
514,266799.24
515,266799.24
516,266799.24
517,266799.24
518,259904.48
519,259904.48
520,259904.48
521,259904.48
522,259904.48
523,259904.48
524,259904.48
525,259904.48
526,259904.48
527,259904.48
528,259904.48
529,259904.48
530,259904.48
531,259904.48
532,253009.72
533,253009.72
534,253009.72
535,253009.72
536,253009.72
537,253009.72
538,253009.72
539,253009.72
540,253009.72
541,253009.72
542,253009.72
543,253009.72
544,253009.72
545,253009.72
546,246114.96
547,246114.96
548,246114.96
549,246114.96
550,246114.96
551,246114.96
552,246114.96
553,246114.96
554,246114.96
555,246114.96
556,246114.96
557,246114.96
558,246114.96
559,246114.96
560,246114.96
561,246114.96
562,239220.2
563,239220.2
564,239220.2
565,239220.2
566,239220.2
567,239220.2
568,239220.2
569,239220.2
570,239220.2
571,239220.2
572,239220.2
573,239220.2
574,239220.2
575,239220.2
576,239220.2
577,239220.2
578,232325.44
579,232325.44
580,232325.44
581,232325.44
582,232325.44
583,232325.44
584,232325.44
