results:converged,results:inlet-p:value
True,1701856.3015734
True,1196078.7503891
True,878872.751555
True,671425.69588342
True,529876.61505326
True,429638.13228214
True,356558.52564776
True,302089.28316631
True,260341.05468699
True,227833.49403469
True,202206.65831744
