results:converged,results:inlet-p:value
True,5690530.8972113
True,4602018.757738
True,3269314.9030007
True,2112926.7319094
True,1305547.148913
True,816928.6618768
True,539167.8965769
True,379936.92268792
True,284460.59896633
True,224288.55405153
True,184784.70999937
True,158085.79179223
True,139743.03901043
True,127064.87485333
True,118362.53458521
True,112422.99281597
True,108411.6997152
True,105752.99116801
True,104028.81092826
True,102996.16946611
