particle_diameter_1
1e-05
1.1578947368421053e-05
1.3157894736842106e-05
1.4736842105263159e-05
1.6315789473684213e-05
1.7894736842105264e-05
1.9473684210526318e-05
2.1052631578947372e-05
2.2631578947368423e-05
2.4210526315789474e-05
2.578947368421053e-05
