time,pellet-inlet-p
0,4293339
1,4293339
2,4201167.5354908
3,3859606.2575924
4,3330189.2588485
5,2838297.3992515
6,2436583.7469029
7,2118887.7604292
8,1866362.9759079
9,1663185.063088
10,1497328.1900726
11,1359869.0920228
12,1244563.5988451
13,1147722.1651779
14,1064413.5525815
15,992076.80736792
16,928754.19661382
17,872914.78285242
18,823345.22119855
19,779074.0140032
20,739316.02666451
21,703431.03921495
22,670892.50403467
23,641263.82475798
24,614180.20671782
25,589334.65562194
26,566467.08444297
27,545355.76659271
28,525810.57447916
29,507667.58786603
30,490784.76184065
31,475038.42103155
32,461672.2553585
33,449076.15596329
34,437187.22396384
35,425949.2117117
36,415311.6332331
37,405229.03642163
38,395660.39140231
39,386568.56868488
40,377919.89008125
41,369683.74013728
42,361832.2285871
43,354339.89616185
44,347183.45742243
45,340341.5753305
46,333794.66311445
47,327524.70967902
48,321515.12538013
49,315750.60546344
50,310217.00886407
