time,Re,inlet-p,outlet-p
0,0,4582919,4582919
1,0,4582919,3714179
2,0.40092273114027,4557104.0145106,1432014
3,1.0302200818223,4468058.1496305,590853
4,1.054851934405,4322579.9935122,301273
5,0.98470613698954,4147018.946822,204746
6,0.90230007743697,3963501.2384779,142694
7,0.82459319677394,3785187.4815498,122009
8,0.75395555129465,3618133.757943,108220
9,0.69152393495475,3464200.6627077,108220
10,0.63623733663933,3323004.6910823,108220
11,0.58740633559936,3193228.0920622,101325
12,0.54425743653476,3073487.0612791,101325
13,0.50558254222743,2962538.0092331,101325
14,0.47085831469974,2859291.3017027,101325
15,0.43952464316572,2762822.5418443,101325
16,0.41112176739577,2672364.777378,101325
17,0.38527409876931,2587287.7745391,101325
18,0.36167261243642,2507071.5910165,101325
19,0.34005991840437,2431281.778832,101325
20,0.32022050605582,2359555.7911554,101325
21,0.30196659071463,2291567.6723734,101325
22,0.28513773831317,2227037.9902377,101325
23,0.26959410052073,2165718.6433559,101325
24,0.25521290212378,2107387.1234317,101325
25,0.24188573716146,2051842.2955029,101325
26,0.22951644106544,1998901.2270489,101325
27,0.21801938095887,1948396.7455386,101325
28,0.2073180565053,1900175.5082888,101325
29,0.19734393695623,1854096.4391723,101325
30,0.18803548204118,1810029.4338049,101325
31,0.17933730900191,1767854.2660342,101325
32,0.17119947797243,1727459.6492087,101325
33,0.16357687471433,1688742.4194572,101325
34,0.1564286744949,1651606.8174273,101325
35,0.14971787432615,1615963.8511819,101325
36,0.14341088330257,1581730.727247,101325
37,0.13747716266966,1548830.3397918,101325
38,0.13188890870929,1517190.8100522,101325
39,0.12662077266723,1486745.0696374,101325
40,0.12164961285584,1457430.4824998,101325
41,0.11695427479963,1429188.5011997,101325
42,0.11251539589392,1401964.3537599,101325
43,0.10831523154603,1375706.7579229,101325
44,0.10433750018588,1350367.6600457,101325
45,0.10056724488528,1325901.9962054,101325
46,0.096990709623369,1302267.4733802,101325
47,0.09359522849038,1279424.368807,101325
48,0.090369126339883,1257335.3458275,101325
49,0.087301629587023,1235965.2847103,101325
50,0.08438278601188,1215281.1270954,101325
51,0.081603392566845,1195251.7328409,101325
52,0.078954930308027,1175847.7481761,101325
53,0.076429505676044,1157041.484169,101325
54,0.074019797443113,1138806.8046142,101325
55,0.071719008723383,1121119.0225298,101325
56,0.069520823513217,1103954.8045309,101325
57,0.067419367289314,1087292.0824129,101325
58,0.06540917124608,1071109.9713408,101325
59,0.063485139800704,1055388.6940964,101325
60,0.061642521035721,1040109.510882,101325
61,0.059876879785187,1025254.6542295,101325
62,0.058184073102674,1010807.2685977,101325
63,0.056560227877564,996751.35428403,101325
64,0.055001720391107,983071.7153038,101325
65,0.053505157625812,969753.91092505,101325
66,0.052067360161308,956784.21057131,101325
67,0.050685346507189,944149.55183033,101325
68,0.049356318738729,931837.50132903,101325
69,0.048077649315072,919836.21825516,101325
70,0.046846868971659,908134.42032476,101325
71,0.045661655589529,896721.35201107,101325
72,0.044519823953755,885586.75486597,101325
73,0.043419316321968,874720.8397789,101325
74,0.04235819373157,864114.26103076,101325
75,0.041334627981193,853758.09201199,101325
76,0.040346894228085,843643.80248446,101325
77,0.03939336414867,833763.23727633,101325
78,0.038472499614481,824108.59630803,101325
79,0.037582846840125,814672.41585539,101325
80,0.03672303096394,805447.55096319,101325
81,0.035891751025614,796427.15892935,101325
82,0.035087775308277,787604.68378596,101325
83,0.034309937015507,778973.84170898,101325
84,0.033557130256325,770528.60729372,101325
85,0.032828306313643,762263.20063778,101325
86,0.032123102801984,754179.36610529,101325
87,0.031439903187504,746264.18436767,101325
88,0.030777812783095,738512.55556179,101325
89,0.030135981411893,730919.57999498,101325
90,0.029513600799422,723480.54857574,101325
91,0.028909902144977,716190.9337798,101325
92,0.028324153854299,709046.38111728,101325
93,0.027755659421276,702042.70106902,101325
94,0.02720375544766,695175.86146291,101325
95,0.026667809790717,688441.98026267,101325
96,0.026147219829528,681837.31874393,101325
97,0.025641410841424,675358.27503381,101325
98,0.025149834480709,669001.37799206,101325
99,0.024671967352428,662763.28141313,101325
100,0.02420730967452,656640.75852999,101325
101,0.023755384022206,650630.69680189,101325
102,0.023315734148924,644730.09296906,101325
103,0.022887923878581,638936.04835909,101325
104,0.022471536064258,633245.76443004,101325
105,0.022066171608903,627656.53853679,101325
106,0.021671448543854,622165.75990792,101325
107,0.021287001161344,616770.90582092,101325
108,0.020912479197455,611469.53796481,101325
109,0.020547547062194,606259.29897946,101325
110,0.02019188311365,601137.90916195,101325
111,0.019845178973389,596103.16333059,101325
112,0.019507138880441,591152.92783809,101325
113,0.019177479081446,586285.13772573,101325
114,0.018855927254663,581497.7940108,101325
115,0.018542221965741,576788.96110031,101325
116,0.018236112153264,572156.76432421,101325
117,0.017937356642249,567599.38758161,101325
118,0.017645723683878,563115.07109442,101325
119,0.017360990519867,558702.10926235,101325
120,0.017082942969998,554358.84861445,101325
121,0.016811375041414,550083.68585192,101325
122,0.016546088558387,545875.06597758,101325
123,0.016286892811354,541731.48050778,101325
124,0.01603360422408,537651.46576226,101325
125,0.0157860460379,533633.60122834,101325
126,0.015544048012056,529676.50799565,101325
127,0.015307446139186,525778.84725779,101325
128,0.015076082375126,521939.31887779,101325
129,0.014849804382182,518156.66001418,101325
130,0.01462846528515,514429.64380473,101325
131,0.014411923439332,510757.0781051,101325
132,0.014200042209918,507137.80427969,101325
133,0.013992689762073,503570.69604237,101325
134,0.01378973886117,500054.65834452,101325
135,0.013591066682596,496588.62630837,101325
136,0.013396554630622,493171.56420328,101325
137,0.013206088165853,489802.46446324,101325
138,0.013019556640779,486480.34674345,101325
139,0.012836853143033,483204.25701435,101325
140,0.012657874345905,479973.26669126,101325
141,0.012482520365771,476786.47179813,101325
142,0.012310694626048,473642.99216382,101325
143,0.012142303727358,470541.97064945,101325
144,0.01197725732356,467482.57240538,101325
145,0.011815468003372,464463.98415669,101325
146,0.011656851177281,461485.41351563,101325
147,0.011501324969483,458546.08832017,101325
148,0.011348810114596,455645.25599722,101325
149,0.011199229858911,452782.18294971,101325
150,0.011052509865954,449956.15396634,101325
151,0.010908578126143,447166.47165306,101325
152,0.010767364870348,444412.45588541,101325
153,0.010628802487147,441693.44328083,101325
154,0.010492825443623,439008.78669004,101325
155,0.010359370209509,436357.85470672,101325
156,0.010228375184528,433740.03119481,101325
157,0.010099780628784,431154.71483261,101325
158,0.0099735285960463,428601.31867296,101325
159,0.0098495628697968,426079.26971899,101325
160,0.0097278289019159,423588.00851467,101325
161,0.0096082737538727,421126.98874964,101325
162,0.0094908460403135,418695.67687765,101325
163,0.0093754958749321,416293.55174826,101325
164,0.0092621748185211,413920.10425101,101325
165,0.0091508358291014,411574.83697182,101325
166,0.0090414332140389,409257.26386097,101325
167,0.0089339225840566,406966.90991224,101325
168,0.0088282608090577,404703.31085287,101325
169,0.0087244059756798,402466.0128438,101325
170,0.008622317346502,400254.57218985,101325
171,0.0085219553208331,398068.55505947,101325
172,0.0084232813970112,395907.5372137,101325
173,0.0083262581361482,393771.10374391,101325
174,0.0082308491272574,391658.8488181,101325
175,0.0081370189537035,389570.37543541,101325
176,0.0080447331609191,387505.29518844,101325
177,0.0079539582253328,385463.22803327,101325
178,0.0078646615244574,383443.80206668,101325
179,0.0077768113080901,381446.65331048,101325
180,0.0076903766705765,379471.42550264,101325
181,0.0076053275240948,377517.76989493,101325
182,0.0075216345729174,375585.34505686,101325
183,0.0074392692886096,373673.81668569,101325
184,0.0073582038861257,371782.85742238,101325
185,0.0072784113007678,369912.14667305,101325
186,0.0071998651659693,368061.37043603,101325
187,0.0071225397918724,366230.22113407,101325
188,0.0070464101446652,364418.39745169,101325
189,0.006971451826649,362625.60417737,101325
190,0.0068976410570067,360851.5520505,101325
191,0.0068249546532432,359095.95761287,101325
192,0.0067533700132728,357358.54306462,101325
193,0.0066828650981266,355639.03612435,101325
194,0.0066134184152562,353937.16989343,101325
195,0.0065450090024105,352252.68272421,101325
196,0.0064776164120631,350585.31809212,101325
197,0.0064112206963688,348934.82447142,101325
198,0.0063458023926292,347300.95521461,101325
199,0.0062813425092476,345683.46843518,101325
200,0.0062178225121545,344082.12689387,101325
201,0.0061552243116861,342496.697888,101325
202,0.0060935302498982,340926.95314406,101325
203,0.0060327230882995,339372.66871324,101325
204,0.0059727859959885,337833.62486996,101325
205,0.0059137025381788,336309.60601315,101325
206,0.0058554566650983,334800.40057039,101325
207,0.005798032701249,333305.80090457,101325
208,0.0057414153350132,331825.60322322,101325
209,0.0056855896085947,330359.60749029,101325
210,0.0056305409082809,328907.61734033,101325
211,0.0055762549550166,327469.43999502,101325
212,0.005522717795276,326044.88618196,101325
213,0.0054699157922232,324633.77005561,101325
214,0.0054178356171507,323235.90912043,101325
215,0.0053664642411866,321851.12415599,101325
216,0.0053157889272591,320479.2391441,101325
217,0.0052657972223119,319120.08119792,101325
218,0.005216476949759,317773.48049285,101325
219,0.0051678162021724,316439.27019927,101325
220,0.0051198033341934,315117.28641711,101325
221,0.0050724269556608,313807.36811201,101325
222,0.0050256759249471,312509.35705319,101325
223,0.004979539342497,311223.09775294,101325
224,0.0049340065445602,309948.43740762,101325
225,0.0048890670971121,308685.22584021,101325
226,0.0048447107899565,307433.31544433,101325
227,0.0048009276310034,306192.56112962,101325
228,0.0047577078407164,304962.82026855,101325
229,0.004715041846724,303743.9526446,101325
230,0.0046729202785891,302535.82040165,101325
231,0.004631333962732,301338.28799472,101325
232,0.0045902739175003,300151.22214187,101325
233,0.0045497313483833,298974.49177737,101325
234,0.0045096976433635,297807.9680059,101325
235,0.0044701643684026,296651.52405804,101325
236,0.0044311232630566,295505.03524669,101325
237,0.0043925662362165,294368.37892467,101325
238,0.0043544853619699,293241.43444325,101325
239,0.0043168728755795,292124.08311183,101325
240,0.0042797211695761,291016.20815838,101325
241,0.00424302278996,289917.69469105,101325
242,0.0042067704325102,288828.42966054,101325
243,0.0041709569391953,287748.30182341,101325
244,0.0041355752946851,286677.20170634,101325
245,0.0041006186229579,285615.02157106,101325
246,0.0040660801840017,284561.65538032,101325
247,0.0040319533706065,283516.99876448,101325
248,0.0039982317052429,282480.94898896,101325
249,0.0039649088370274,281453.40492246,101325
250,0.0039319785387691,280434.26700586,101325
251,0.0038994347040961,279423.4372219,101325
252,0.0038672713446603,278420.81906552,101325
253,0.0038354825874162,277426.31751486,101325
254,0.0038040626719728,276439.83900302,101325
255,0.0037730059480164,275461.29139031,101325
256,0.0037423068728013,274490.58393727,101325
257,0.0037119600087069,273527.62727823,101325
258,0.0036819600208594,272572.33339544,101325
259,0.0036523016748157,271624.61559388,101325
260,0.0036229798343081,270684.38847652,101325
261,0.0035939894590473,269751.56792018,101325
262,0.0035653256025829,268826.07105196,101325
263,0.0035369834102189,267907.81622611,101325
264,0.0035089581169832,266996.72300151,101325
265,0.0034812450456488,266092.71211951,101325
266,0.0034538396048064,265195.70548242,101325
267,0.0034267372869849,264305.62613232,101325
268,0.003399933666821,263422.3982304,101325
269,0.0033734243992742,262545.94703677,101325
270,0.0033472052178872,261676.19889064,101325
271,0.0033215052168562,260820.85813028,101325
272,0.003296081957602,259971.95869426,101325
273,0.0032709315071699,259129.43193047,101325
274,0.0032460500021318,258293.21015526,101325
275,0.0032214336470975,257463.2266365,101325
276,0.0031970787132823,256639.41557689,101325
277,0.003172981537111,255821.71209776,101325
278,0.0031491385188568,255010.05222304,101325
279,0.0031255461213134,254204.3728637,101325
280,0.0031022008684984,253404.61180248,101325
281,0.0030790993443891,252610.70767884,101325
282,0.0030562381916879,251822.59997442,101325
283,0.0030336141106173,251040.22899855,101325
284,0.0030112238577439,250263.53587429,101325
285,0.0029890642448301,249492.46252458,101325
286,0.0029671321377127,248726.95165872,101325
287,0.0029454244552085,247966.94675921,101325
288,0.002923938168045,247212.39206871,101325
289,0.0029026702978162,246463.23257734,101325
290,0.0028816179159634,245719.41401024,101325
291,0.0028607781427787,244980.88281534,101325
292,0.0028401481464321,244247.58615141,101325
293,0.0028197251420216,243519.47187627,101325
294,0.0027995063906439,242796.48853536,101325
295,0.0027794891984879,242078.58535042,101325
296,0.0027596709159477,241365.71220841,101325
297,0.0027400489367565,240657.81965072,101325
298,0.0027206206971404,239954.85886249,101325
299,0.0027013836749906,239256.78166223,101325
300,0.002682335389055,238563.54049156,101325
301,0.0026634733981478,237875.08840517,101325
302,0.002644795300377,237191.37906105,101325
303,0.0026262987323885,236512.36671076,101325
304,0.0026079813686284,235838.00619004,101325
305,0.0025898409206201,235168.25290949,101325
306,0.0025718751362589,234503.06284545,101325
307,0.0025540817991213,233842.39253112,101325
308,0.0025364587277899,233186.19904773,101325
309,0.0025190037751927,232534.44001598,101325
310,0.0025017148279576,231887.0735876,101325
311,0.0024845898057805,231244.05843704,101325
312,0.002467626660807,230605.35375338,101325
313,0.0024508233770281,229970.9192323,101325
314,0.0024341779696885,229340.71506832,101325
315,0.0024176884847075,228714.70194706,101325
316,0.0024013529981135,228092.8410377,101325
317,0.0023851696154888,227475.09398561,101325
318,0.0023691364714281,226861.42290505,101325
319,0.002353251729007,226251.79037204,101325
320,0.002337513579263,225646.15941735,101325
321,0.0023219202406868,225044.49351964,101325
322,0.0023064699587245,224446.75659866,101325
323,0.0022911610052905,223852.91300865,101325
324,0.0022759916782901,223262.92753183,101325
325,0.0022609603011528,222676.76537197,101325
326,0.0022460652223749,222094.39214813,101325
