time,pellet-inlet-p
0,4293339
1,4293339
2,4127761.0514393
3,3318545.4812005
4,2363155.5712199
5,1586694.5868389
6,1046418.3141962
7,689336.83214422
8,462119.80129985
9,319834.80230789
10,233718.20478281
11,182487.76435305
12,150179.87053013
13,130400.05515661
14,118565.81399168
15,111539.81320607
16,107376.46085517
17,104910.16235813
18,103450.43668562
19,102585.09342979
20,102072.07966054
21,101767.93183658
22,101589.23414766
23,101482.63145912
24,101419.03683112
25,101381.09882412
26,101358.46647257
27,101346.19229192
28,101338.41979753
29,101333.49794718
30,101330.38123689
