time,pellet-inlet-p
0,4293339
1,4293339
2,4115255.4352452
3,3254430.7070524
4,2274329.3646583
5,1498890.5898822
6,973265.43717892
7,633267.50673411
8,421819.20744509
9,291946.58333102
10,215002.29693824
11,170158.42397562
12,142009.61094711
13,125057.79052048
14,115111.34733473
15,109330.33367206
16,105972.49297841
17,104023.03850015
18,102891.32562903
19,102240.24846321
20,101859.80966487
21,101637.50825914
22,101507.61016692
23,101438.60652713
24,101395.67760731
25,101368.97040986
26,101352.35515995
27,101342.01837326
28,101342.01837326
29,101342.01837326
30,101342.01837326
