time,pellet-inlet-p
0,4293339
1,4293339
2,4118850.5455237
3,3271712.221016
4,2297277.1884934
5,1520627.9257461
6,990894.17521674
7,646573.75165495
8,431378.66509343
9,298629.40813512
10,219560.7302139
11,173211.71456167
12,144069.43369094
13,126425.97512379
14,116006.96801115
15,109904.69254377
16,106341.17029592
17,104257.77045736
18,103039.73592837
19,102327.5975966
20,101914.97432364
21,101672.1708834
22,101529.29403126
23,101445.21796197
24,101400.24084205
25,101372.09102664
26,101354.47289478
27,101343.44622502
28,101336.5449553
29,101336.5449553
30,101336.5449553
