time,pellet-inlet-p
10.4,137687.59085889
10.5,135734.87327483
10.6,133877.20425232
10.7,132103.68560711
10.8,130405.6806108
10.9,128776.24274184
11,127209.63648867
11.1,125700.98885608
11.2,124248.40991982
11.3,122853.80057164
11.4,121521.47206092
11.5,120255.40393923
11.6,119057.81437376
11.7,117928.96755188
11.8,116867.57579194
11.9,115871.3166482
12,114937.26483894
12.1,114062.19847621
12.2,113242.79818384
12.3,112475.76936122
12.4,111757.91353501
12.5,111086.16742145
12.6,110457.6220652
12.7,109869.5299458
12.8,109319.30497597
12.9,108804.51842305
13,108322.89260105
13.1,107872.2934488
13.2,107450.72266083
13.3,107056.30976306
13.4,106687.30435855
13.5,106342.37941804
13.6,106019.65191327
13.7,105717.69224085
13.8,105435.16293392
13.9,105170.81274305
14,104923.47108477
14.1,104692.04284038
14.2,104475.50348641
14.3,104272.89453739
14.4,104083.31928212
14.5,103905.93879519
14.6,103739.96820631
14.7,103584.67321094
14.8,103439.36680678
14.9,103303.40624142
15,103176.19015748
15.1,103057.15592256
15.2,102945.77713173
15.3,102841.56127166
15.4,102744.04753568
15.5,102652.80478006
15.6,102567.4296123
15.7,102487.54460294
15.8,102412.79661279
15.9,102342.8552282
16,102277.41129722
16.1,102216.1755603
16.2,102158.87736931
16.3,102105.26348911
16.4,102055.09697645
16.5,102008.15613116
16.6,101964.23351492
16.7,101923.13503325
16.8,101884.67907668
16.9,101848.69571728
17,101815.32928883
17.1,101784.08885759
17.2,101754.83894859
17.3,101727.45272148
17.4,101701.81141992
17.5,101677.80385616
17.6,101655.32592855
17.7,101634.28016974
17.8,101614.57532379
17.9,101596.12595022
18,101578.85205332
18.1,101562.67873509
18.2,101547.53587033
18.3,101533.35780241
18.4,101520.08305849
18.5,101507.65408288
18.6,101496.01698735
18.7,101485.12131744
18.8,101474.91983361
18.9,101465.36830638
19,101456.42532447
19.1,101448.05211525
19.2,101440.21237654
19.3,101432.87211925
19.4,101425.99951993
19.5,101419.56478279
19.6,101413.54001049
19.7,101407.89908318
19.8,101402.61754523
19.9,101397.67249917
20,101393.04250646
20.1,101388.70749445
20.2,101384.64866943
20.3,101380.84843507
20.4,101377.29031619
20.5,101374.26174451
20.6,101371.40858378
20.7,101368.72067432
20.8,101366.18844491
20.9,101363.80287868
21,101361.55548103
21.1,101359.43824939
21.2,101357.44364465
21.3,101355.56456442
21.4,101353.79431764
21.5,101352.1266008
21.6,101350.55547549
21.7,101349.07534726
21.8,101347.68094567
21.9,101346.36730555
22,101345.1297493
22.1,101343.96387025
22.2,101342.86551697
22.3,101341.83077845
22.4,101340.85597023
22.5,101339.93762123
22.6,101339.07246141
22.7,101338.25741015
22.8,101337.48956524
22.9,101336.76619255
23,101336.08471634
23.1,101335.44271002
23.2,101334.83788756
23.3,101334.26809533
23.4,101333.73130445
23.5,101333.22560353
23.6,101332.74919189
23.7,101332.30037314
23.8,101331.87754917
23.9,101331.47921438
24,101331.10395042
24.1,101330.75042105
24.2,101330.41736746
24.3,101330.41736746
24.4,101330.41736746
24.5,101330.41736746
24.6,101330.41736746
24.7,101330.41736746
24.8,101330.41736746
24.9,101330.41736746
25,101330.41736746
25.1,101330.41736746
25.2,101330.41736746
25.3,101330.41736746
25.4,101330.41736746
25.5,101330.41736746
25.6,101330.41736746
25.7,101330.41736746
25.8,101330.41736746
25.9,101330.41736746
26,101330.41736746
26.1,101330.41736746
26.2,101330.41736746
26.3,101330.41736746
26.4,101330.41736746
26.5,101330.41736746
26.6,101330.41736746
26.7,101330.41736746
26.8,101330.41736746
26.9,101330.41736746
27,101330.41736746
27.1,101330.41736746
27.2,101330.41736746
27.3,101330.41736746
27.4,101330.41736746
27.5,101330.41736746
27.6,101330.41736746
27.7,101330.41736746
27.8,101330.41736746
27.9,101330.41736746
28,101330.41736746
28.1,101330.41736746
28.2,101330.41736746
28.3,101330.41736746
28.4,101330.41736746
28.5,101330.41736746
28.6,101330.41736746
28.7,101330.41736746
28.8,101330.41736746
28.9,101330.41736746
29,101330.41736746
29.1,101330.41736746
29.2,101330.41736746
29.3,101330.41736746
29.4,101330.41736746
29.5,101330.41736746
29.6,101330.41736746
29.7,101330.41736746
29.8,101330.41736746
29.9,101330.41736746
30,101330.41736746
