time,inlet-p,outlet-p
13.8,1450906.5623773,101325
13.9,1443593.4265237,101325
14,1436338.5135319,101325
14.1,1429141.0097731,101325
14.2,1422000.1351566,101325
14.3,1414915.1406321,101325
14.4,1407885.3058776,101325
14.5,1400909.937166,101325
14.6,1393988.365402,101325
14.7,1387119.9443173,101325
14.8,1380304.0488159,101325
14.9,1373540.0734564,101325
15,1366827.4310626,101325
15.1,1360165.5514517,101325
15.2,1353553.8802703,101325
15.3,1346991.8779294,101325
15.4,1340479.0186309,101325
15.5,1334014.789476,101325
15.6,1327598.6896494,101325
15.7,1321230.2296737,101325
15.8,1314908.9307251,101325
15.9,1308634.3240081,101325
16,1302405.9501815,101325
16.1,1296223.3588324,101325
16.2,1290086.1079938,101325
16.3,1283993.7637015,101325
16.4,1277945.8995874,101325
16.5,1271942.0965051,101325
16.6,1265981.9421864,101325
16.7,1260065.0309239,101325
16.8,1254190.9632792,101325
16.9,1248359.3458142,101325
17,1242569.7908417,101325
17.1,1236821.9161965,101325
17.2,1231115.3450227,101325
17.3,1225449.7055771,101325
17.4,1219824.6310468,101325
17.5,1214239.7593803,101325
17.6,1208694.7331305,101325
17.7,1203189.1993079,101325
17.8,1197722.8092455,101325
17.9,1192295.2184711,101325
18,1186906.0865893,101325
18.1,1181555.0771707,101325
18.2,1176241.8576482,101325
18.3,1170966.0992199,101325
18.4,1165727.4767578,101325
18.5,1160525.6687222,101325
18.6,1155360.357081,101325
18.7,1150231.2272332,101325
18.8,1145137.9679377,101325
18.9,1140080.2712449,101325
19,1135057.8324324,101325
19.1,1130070.349944,101325
19.2,1125117.525332,101325
19.3,1120199.0632013,101325
19.4,1115314.6711578,101325
19.5,1110464.0597573,101325
19.6,1105646.9424581,101325
19.7,1100863.0355752,101325
19.8,1096112.058236,101325
19.9,1091393.732338,101325
20,1086707.7825088,101325
20.1,1082053.9360663,101325
20.2,1077431.9229816,101325
20.3,1072841.4758427,101325
20.4,1068282.3298187,101325
20.5,1063754.2226268,101325
20.6,1059256.8944987,101325
20.7,1054790.088149,101325
20.8,1050353.548744,101325
20.9,1045947.0238721,101325
21,1041570.2635138,101325
21.1,1037223.0200138,101325
21.2,1032905.0480528,101325
21.3,1028616.1046208,101325
21.4,1024355.9489899,101325
21.5,1020124.3426894,101325
21.6,1015921.0494795,101325
21.7,1011745.8353274,101325
21.8,1007598.4683823,101325
21.9,1003478.7189521,101325
22,999386.35947988,101325
22.1,995321.16452107,101325
22.2,991282.91072094,101325
22.3,987271.37679254,101325
22.4,983286.34349501,101325
22.5,979327.5936122,101325
22.6,975394.91193173,101325
22.7,971488.0852243,101325
22.8,967606.90222331,101325
22.9,963751.15360491,101325
23,959920.63196814,101325
23.1,956115.13181557,101325
23.2,952334.44953404,101325
23.3,948578.38337578,101325
23.4,944846.73343969,101325
23.5,941139.30165296,101325
23.6,937455.89175288,101325
23.7,933796.30926885,101325
23.8,930160.68877613,101325
23.9,926548.50784707,101325
24,922959.57733299,101325
24.1,919393.7098071,101325
24.2,915850.71954765,101325
24.3,912330.42252121,101325
24.4,908832.63636618,101325
24.5,905357.18037652,101325
24.6,901903.87548563,101325
24.7,898472.54425037,101325
24.8,895063.01083536,101325
24.9,891675.10099737,101325
25,888308.64206989,101325
25.1,884963.46294793,101325
25.2,881639.39407287,101325
25.3,878336.26741761,101325
25.4,875053.91647174,101325
25.5,871792.17622695,101325
25.6,868550.88316259,101325
25.7,865329.87523132,101325
25.8,862128.991845,101325
25.9,858948.07386061,101325
26,855786.96356646,101325
26.1,852645.50466836,101325
26.2,849523.54227612,101325
26.3,846420.92289003,101325
26.4,843337.49438759,101325
26.5,840273.10601029,101325
26.6,837227.60835056,101325
26.7,834200.85333888,101325
26.8,831192.69423096,101325
26.9,828202.98559508,101325
27,825231.58329955,101325
27.1,822278.34450028,101325
27.2,819343.12762853,101325
27.3,816425.7923787,101325
27.4,813526.19969629,101325
27.5,810644.21176595,101325
27.6,807779.69199971,101325
27.7,804932.50502523,101325
27.8,802102.51667425,101325
27.9,799289.59397109,101325
28,796493.60512133,101325
28.1,793714.41950051,101325
28.2,790951.90764303,101325
28.3,788205.94123113,101325
28.4,785476.39308392,101325
28.5,782763.1371466,101325
28.6,780066.04847975,101325
28.7,777385.00324872,101325
28.8,774719.87871311,101325
28.9,772070.55321639,101325
29,769436.9061756,101325
29.1,766818.81807115,101325
29.2,764216.17043669,101325
29.3,761628.84584917,101325
29.4,759056.72791888,101325
29.5,756499.70127966,101325
29.6,753957.65157919,101325
29.7,751430.46546939,101325
29.8,748918.03059686,101325
29.9,746420.23559345,101325
30,743936.97006696,101325
