time,pellet-inlet-p
10.4,132982.94538901
10.5,131273.39304324
10.6,129643.75695429
10.7,128084.38264694
10.8,126587.72825653
10.9,125147.78869364
11,123759.64278269
11.1,122419.13351877
11.2,121126.25336926
11.3,119884.85062561
11.4,118700.21398924
11.5,117576.48143327
11.6,116515.7040932
11.7,115517.9659296
11.8,114581.89480597
11.9,113705.18753496
12,112885.01808924
12.1,112119.00746104
12.2,111403.24090786
12.3,110734.63532878
12.4,110110.21146986
12.5,109527.12656791
12.6,108982.68949712
12.7,108474.36545419
12.8,107999.77453996
12.9,107556.68690124
13,107143.0160454
13.1,106756.81129313
13.2,106396.24994112
13.3,106059.62946636
13.4,105745.35995915
13.5,105451.95688473
13.6,105178.03422153
13.7,104922.29799319
13.8,104683.54019364
13.9,104460.63309447
14,104252.52391848
14.1,104058.22986036
14.2,103876.83343485
14.3,103707.47813241
14.4,103549.36436301
14.5,103401.74566957
14.6,103263.92519332
14.7,103135.25237458
14.8,103015.11987325
14.9,102902.96069454
15,102798.24550611
15.1,102700.48013391
15.2,102609.20322487
15.3,102523.9840652
15.4,102445.13733453
15.5,102371.47612281
15.6,102302.65933544
15.7,102238.36832197
15.8,102178.30539822
15.9,102122.19246589
16,102069.76972322
16.1,102020.79446058
16.2,101975.03993548
16.3,101932.29432163
16.4,101892.35972732
16.5,101855.05127834
16.6,101820.19626141
16.7,101787.63332395
16.8,101757.21172654
16.9,101728.79064467
17,101702.23851633
17.1,101677.43243267
17.2,101654.25756873
17.3,101632.6066516
17.4,101612.37946362
17.5,101593.48237827
17.6,101575.82792663
17.7,101559.33439228
17.8,101543.92543299
17.9,101529.52972716
18,101516.08064362
18.1,101503.51593313
18.2,101491.77744017
18.3,101480.81083367
18.4,101470.56535552
18.5,101460.99358553
18.6,101452.05122194
18.7,101443.6968763
18.8,101436.60142704
18.9,101429.93013256
19,101423.65763711
19.1,101417.76010073
19.2,101412.21510868
19.3,101407.00158616
19.4,101402.09971828
19.5,101397.49087467
19.6,101393.15753868
19.7,101389.08324084
19.8,101385.2524962
19.9,101381.6507455
20,101378.26429984
20.1,101375.08028863
20.2,101372.08661066
20.3,101369.27188816
20.4,101366.62542347
20.5,101364.13715846
20.6,101361.79763625
20.7,101359.59796527
20.8,101357.5297855
20.9,101355.58523665
21,101353.75692834
21.1,101352.03791192
21.2,101350.42165418
21.3,101348.90201242
21.4,101347.47321114
21.5,101346.12982011
21.6,101344.86673369
21.7,101343.67915145
21.8,101342.56255993
21.9,101341.51271546
22,101340.52562806
22.1,101339.59754627
22.2,101338.72494286
22.3,101337.90450148
22.4,101337.133104
22.5,101337.133104
22.6,101337.133104
22.7,101337.133104
22.8,101337.133104
22.9,101337.133104
23,101337.133104
23.1,101337.133104
23.2,101337.133104
23.3,101337.133104
23.4,101337.133104
23.5,101337.133104
23.6,101337.133104
23.7,101337.133104
23.8,101337.133104
23.9,101337.133104
24,101337.133104
24.1,101337.133104
24.2,101337.133104
24.3,101337.133104
24.4,101337.133104
24.5,101337.133104
24.6,101337.133104
24.7,101337.133104
24.8,101337.133104
24.9,101337.133104
25,101337.133104
25.1,101337.133104
25.2,101337.133104
25.3,101337.133104
25.4,101337.133104
25.5,101337.133104
25.6,101337.133104
25.7,101337.133104
25.8,101337.133104
25.9,101337.133104
26,101337.133104
26.1,101337.133104
26.2,101337.133104
26.3,101337.133104
26.4,101337.133104
26.5,101337.133104
26.6,101337.133104
26.7,101337.133104
26.8,101337.133104
26.9,101337.133104
27,101337.133104
27.1,101337.133104
27.2,101337.133104
27.3,101337.133104
27.4,101337.133104
27.5,101337.133104
27.6,101337.133104
27.7,101337.133104
27.8,101337.133104
27.9,101337.133104
28,101337.133104
28.1,101337.133104
28.2,101337.133104
28.3,101337.133104
28.4,101337.133104
28.5,101337.133104
28.6,101337.133104
28.7,101337.133104
28.8,101337.133104
28.9,101337.133104
29,101337.133104
29.1,101337.133104
29.2,101337.133104
29.3,101337.133104
29.4,101337.133104
29.5,101337.133104
29.6,101337.133104
29.7,101337.133104
29.8,101337.133104
29.9,101337.133104
30,101337.133104
