results:converged,results:inlet-p:value
True,5491799.1090029
True,5447564.8109254
True,5401295.7766888
True,5353265.0632249
True,5303700.8126221
True,5252792.2081121
True,5200696.0632974
True,5147542.8877806
True,5093442.1755408
True,5038486.9533992
True,4982757.5459253
True,4926324.6197534
True,4869251.5880788
True,4811596.4674035
True,4753413.2805511
True,4694753.094239
True,4635664.7695007
True,4576195.4914671
True,4516391.1331076
True,4456296.4986231
