time,CT6_1000_1,CT6_1000_2,CT6_1000_3,CT6_600_1,CT6_600_2,CT6_600_3,CT6_800_1,CT6_800_2,CT6_800_3
72,1183683,1225047,1280199,880347,880347,887241,1094061,1094061,1107849
73,1156107,1197471,1252623,866559,866559,866559,1066485,1073379,1087167
74,1135425,1169895,1225047,845877,845877,852771,1045803,1052697,1066485
75,1107849,1149213,1204365,832089,832089,832089,1025121,1032015,1045803
76,1080273,1121637,1176789,818301,818301,818301,1004439,1011333,1025121
77,1059591,1100955,1149213,797619,797619,804513,983757,990651,1004439
78,1032015,1073379,1128531,783831,783831,783831,963075,969969,983757
79,1011333,1052697,1107849,770043,770043,770043,949287,949287,963075
80,990651,1032015,1080273,756255,756255,756255,928605,935499,942393
81,969969,1011333,1059591,742467,742467,742467,907923,914817,921711
82,949287,990651,1038909,728679,728679,728679,894135,894135,907923
83,928605,969969,1018227,714891,714891,714891,873453,880347,887241
84,907923,949287,997545,701103,701103,701103,859665,859665,873453
85,887241,928605,976863,687315,687315,687315,838983,845877,852771
86,866559,907923,956181,673527,673527,673527,825195,825195,838983
87,845877,887241,935499,659739,659739,659739,804513,811407,825195
88,832089,873453,914817,645951,645951,652845,790725,797619,804513
89,811407,852771,901029,639057,639057,639057,776937,783831,790725
90,797619,838983,880347,625269,625269,625269,763149,763149,776937
91,776937,818301,866559,611481,611481,611481,749361,749361,763149
92,763149,804513,845877,604587,604587,604587,735573,735573,749361
93,749361,790725,832089,590799,590799,590799,721785,721785,735573
94,728679,770043,811407,577011,577011,583905,707997,707997,721785
95,714891,756255,797619,570117,570117,570117,694209,694209,707997
96,701103,742467,783831,556329,556329,563223,680421,680421,694209
97,687315,728679,770043,549435,549435,549435,666633,673527,680421
98,673527,714891,749361,535647,535647,542541,652845,659739,666633
99,659739,701103,735573,528753,528753,528753,639057,645951,652845
100,645951,687315,721785,521859,521859,521859,632163,632163,639057
101,632163,673527,707997,508071,508071,514965,618375,625269,632163
102,618375,659739,694209,501177,501177,501177,604587,611481,618375
103,604587,645951,680421,494283,494283,494283,597693,597693,604587
104,590799,632163,666633,480495,487389,487389,583905,590799,597693
105,577011,618375,659739,473601,473601,480495,577011,577011,583905
106,570117,611481,645951,466707,466707,466707,563223,570117,577011
107,556329,597693,632163,459813,459813,459813,556329,556329,563223
108,549435,583905,618375,452919,452919,452919,542541,549435,556329
109,535647,577011,611481,446025,446025,446025,535647,535647,542541
110,521859,563223,597693,432237,439131,439131,521859,528753,535647
111,514965,556329,583905,425343,425343,432237,514965,514965,528753
112,501177,542541,577011,418449,418449,425343,508071,508071,514965
113,494283,535647,563223,411555,411555,418449,494283,501177,508071
114,487389,521859,556329,404661,404661,411555,487389,494283,501177
115,473601,514965,542541,397767,397767,404661,480495,480495,487389
116,466707,508071,535647,390873,390873,397767,473601,473601,480495
117,459813,494283,521859,383979,383979,390873,459813,466707,473601
118,446025,487389,514965,377085,383979,383979,452919,459813,466707
119,439131,480495,508071,377085,377085,377085,446025,452919,459813
120,432237,466707,494283,370191,370191,370191,439131,446025,446025
121,425343,459813,487389,363297,363297,363297,432237,432237,439131
122,418449,452919,480495,356403,356403,356403,425343,425343,432237
123,404661,446025,473601,349509,349509,349509,418449,418449,425343
124,397767,439131,459813,342615,342615,349509,411555,411555,418449
125,390873,432237,452919,342615,342615,342615,404661,404661,411555
126,383979,418449,446025,335721,335721,335721,397767,397767,404661
127,377085,411555,439131,328827,328827,328827,390873,390873,397767
128,370191,404661,432237,321933,321933,328827,383979,383979,390873
129,363297,397767,425343,315039,321933,321933,377085,377085,383979
130,356403,390873,418449,315039,315039,315039,370191,377085,377085
131,349509,383979,411555,308145,308145,308145,363297,370191,370191
132,342615,377085,404661,301251,301251,308145,356403,363297,370191
133,342615,370191,397767,301251,301251,301251,356403,356403,363297
134,335721,370191,390873,294357,294357,294357,349509,349509,356403
135,328827,363297,383979,287463,287463,294357,342615,342615,349509
136,321933,356403,377085,287463,287463,287463,335721,335721,342615
137,315039,349509,370191,280569,287463,280569,328827,335721,342615
138,308145,342615,363297,280569,280569,280569,328827,328827,335721
139,308145,335721,356403,273675,273675,273675,321933,321933,328827
140,301251,335721,356403,266781,273675,273675,315039,321933,321933
141,294357,328827,349509,266781,266781,266781,315039,315039,315039
142,287463,321933,342615,266781,266781,266781,308145,308145,315039
143,287463,315039,335721,259887,259887,259887,301251,308145,308145
144,280569,308145,328827,252993,252993,259887,301251,301251,301251
145,273675,308145,328827,252993,252993,252993,294357,294357,301251
146,273675,301251,321933,246099,246099,246099,287463,294357,294357
147,266781,294357,315039,246099,246099,246099,287463,287463,287463
148,259887,294357,308145,246099,246099,246099,280569,280569,287463
149,259887,287463,308145,239205,239205,239205,273675,280569,280569
150,252993,280569,301251,239205,239205,239205,273675,273675,280569
151,246099,280569,294357,232311,232311,232311,266781,273675,273675
152,246099,273675,294357,225417,225417,232311,266781,266781,266781
