results:converged,results:inlet-p:value
True,6874410.8468945
True,5315335.5121257
True,3538352.313131
True,2115546.6248232
True,1216516.0273659
True,725356.99051048
True,467948.97259207
True,327718.69151059
True,246118.26911788
True,195752.19577945
True,163306.74147744
True,141877.61278128
True,127575.35826546
True,118109.41702499
True,111839.78408278
True,107759.38505983
True,105162.6128412
True,103608.91950561
True,102682.3077617
True,102110.5883076
