particle_diameter_1,particle_diameter_2
0.0005171052631578947,3.4736842105263157e-07
0.0005171052631578947,3.8421052631578947e-07
0.0005171052631578947,4.2105263157894733e-07
0.0005171052631578947,4.5789473684210523e-07
0.0005171052631578947,4.947368421052631e-07
0.0005171052631578947,5.315789473684211e-07
0.0005171052631578947,5.68421052631579e-07
0.0005171052631578947,6.052631578947368e-07
0.0005171052631578947,6.421052631578947e-07
0.0005171052631578947,6.789473684210526e-07
0.0005171052631578947,7.157894736842105e-07
0.0005171052631578947,7.526315789473684e-07
0.0005171052631578947,7.894736842105263e-07
0.0005171052631578947,8.263157894736841e-07
0.0005171052631578947,8.631578947368421e-07
0.0005171052631578947,9e-07
0.0005536842105263158,2e-07
0.0005536842105263158,2.368421052631579e-07
0.0005536842105263158,2.736842105263158e-07
0.0005536842105263158,3.1052631578947366e-07
0.0005536842105263158,3.4736842105263157e-07
0.0005536842105263158,3.8421052631578947e-07
0.0005536842105263158,4.2105263157894733e-07
0.0005536842105263158,4.5789473684210523e-07
0.0005536842105263158,4.947368421052631e-07
0.0005536842105263158,5.315789473684211e-07
0.0005536842105263158,5.68421052631579e-07
0.0005536842105263158,6.052631578947368e-07
0.0005536842105263158,6.421052631578947e-07
0.0005536842105263158,6.789473684210526e-07
0.0005536842105263158,7.157894736842105e-07
0.0005536842105263158,7.526315789473684e-07
0.0005536842105263158,7.894736842105263e-07
0.0005536842105263158,8.263157894736841e-07
0.0005536842105263158,8.631578947368421e-07
0.0005536842105263158,9e-07
0.0005902631578947368,2e-07
0.0005902631578947368,2.368421052631579e-07
0.0005902631578947368,2.736842105263158e-07
0.0005902631578947368,3.1052631578947366e-07
0.0005902631578947368,3.4736842105263157e-07
0.0005902631578947368,3.8421052631578947e-07
0.0005902631578947368,4.2105263157894733e-07
0.0005902631578947368,4.5789473684210523e-07
0.0005902631578947368,4.947368421052631e-07
0.0005902631578947368,5.315789473684211e-07
0.0005902631578947368,5.68421052631579e-07
0.0005902631578947368,6.052631578947368e-07
0.0005902631578947368,6.421052631578947e-07
0.0005902631578947368,6.789473684210526e-07
0.0005902631578947368,7.157894736842105e-07
0.0005902631578947368,7.526315789473684e-07
0.0005902631578947368,7.894736842105263e-07
0.0005902631578947368,8.263157894736841e-07
0.0005902631578947368,8.631578947368421e-07
0.0005902631578947368,9e-07
0.0006268421052631578,2e-07
0.0006268421052631578,2.368421052631579e-07
0.0006268421052631578,2.736842105263158e-07
0.0006268421052631578,3.1052631578947366e-07
0.0006268421052631578,3.4736842105263157e-07
0.0006268421052631578,3.8421052631578947e-07
0.0006268421052631578,4.2105263157894733e-07
0.0006268421052631578,4.5789473684210523e-07
0.0006268421052631578,4.947368421052631e-07
0.0006268421052631578,5.315789473684211e-07
0.0006268421052631578,5.68421052631579e-07
0.0006268421052631578,6.052631578947368e-07
0.0006268421052631578,6.421052631578947e-07
0.0006268421052631578,6.789473684210526e-07
0.0006268421052631578,7.157894736842105e-07
0.0006268421052631578,7.526315789473684e-07
0.0006268421052631578,7.894736842105263e-07
0.0006268421052631578,8.263157894736841e-07
0.0006268421052631578,8.631578947368421e-07
0.0006268421052631578,9e-07
0.000663421052631579,2e-07
