time,CT4_600_1,CT4_600_2,CT4_600_3,CT4_800_1,CT4_800_2,CT4_800_3,CT4_1000_1,CT4_1000_2
482,101325,101325,163371,280569,287463,294357,342615,356403
483,101325,101325,163371,280569,280569,294357,342615,356403
484,101325,101325,163371,280569,280569,294357,342615,356403
485,101325,101325,101325,280569,280569,294357,342615,356403
486,101325,101325,101325,280569,280569,294357,342615,356403
487,101325,101325,101325,280569,280569,294357,342615,349509
488,101325,101325,101325,280569,280569,294357,342615,349509
489,101325,101325,101325,280569,280569,287463,335721,349509
490,101325,101325,101325,280569,280569,287463,335721,349509
491,101325,101325,101325,280569,280569,287463,335721,349509
492,101325,101325,101325,280569,280569,287463,335721,349509
493,101325,101325,101325,273675,280569,287463,335721,349509
494,101325,101325,101325,273675,280569,287463,335721,349509
495,101325,101325,101325,273675,273675,287463,335721,349509
496,101325,101325,101325,273675,273675,287463,335721,342615
497,101325,101325,101325,273675,273675,287463,335721,342615
498,101325,101325,101325,273675,273675,287463,328827,342615
499,101325,101325,101325,273675,273675,287463,328827,342615
500,101325,101325,101325,273675,273675,280569,328827,342615
501,101325,101325,101325,273675,273675,280569,328827,342615
502,101325,101325,101325,273675,273675,280569,328827,342615
503,101325,101325,101325,273675,273675,280569,328827,342615
504,101325,101325,101325,273675,273675,280569,328827,342615
505,101325,101325,101325,266781,273675,280569,328827,335721
506,101325,101325,101325,266781,273675,280569,328827,335721
507,101325,101325,101325,266781,266781,280569,328827,335721
508,101325,101325,101325,266781,266781,280569,328827,335721
509,101325,101325,101325,266781,266781,280569,321933,335721
510,101325,101325,101325,266781,266781,280569,321933,335721
511,101325,101325,101325,266781,266781,280569,321933,335721
512,101325,101325,101325,266781,266781,273675,321933,335721
513,101325,101325,101325,266781,266781,273675,321933,335721
514,101325,101325,101325,266781,266781,273675,321933,335721
515,101325,101325,101325,266781,266781,273675,321933,328827
516,101325,101325,101325,266781,266781,273675,321933,328827
517,101325,101325,101325,266781,266781,273675,321933,328827
518,101325,101325,101325,259887,266781,273675,321933,328827
519,101325,101325,101325,259887,266781,273675,315039,328827
520,101325,101325,101325,259887,259887,273675,315039,328827
521,101325,101325,101325,259887,259887,273675,315039,328827
522,101325,101325,101325,259887,259887,273675,315039,328827
523,101325,101325,101325,259887,259887,273675,315039,328827
524,101325,101325,101325,259887,259887,273675,315039,328827
525,101325,101325,101325,259887,259887,266781,315039,328827
526,101325,101325,101325,259887,259887,266781,315039,321933
527,101325,101325,101325,259887,259887,266781,315039,321933
528,101325,101325,101325,259887,259887,266781,315039,321933
529,101325,101325,101325,259887,259887,266781,315039,321933
530,101325,101325,101325,259887,259887,266781,308145,321933
531,101325,101325,101325,259887,259887,266781,308145,321933
532,101325,101325,101325,252993,259887,266781,308145,321933
533,101325,101325,101325,252993,259887,266781,308145,321933
534,101325,101325,101325,252993,252993,266781,308145,321933
535,101325,101325,101325,252993,252993,266781,308145,321933
536,101325,101325,101325,252993,252993,266781,308145,315039
537,101325,101325,101325,252993,252993,266781,308145,315039
538,101325,101325,101325,252993,252993,259887,308145,315039
539,101325,101325,101325,252993,252993,259887,308145,315039
540,101325,101325,101325,252993,252993,259887,308145,315039
541,101325,101325,101325,252993,252993,259887,308145,315039
542,101325,101325,101325,252993,252993,259887,308145,315039
543,101325,101325,101325,252993,252993,259887,301251,315039
544,101325,101325,101325,252993,252993,259887,301251,315039
545,101325,101325,101325,252993,252993,259887,301251,315039
546,101325,101325,101325,246099,252993,259887,301251,315039
547,101325,101325,101325,246099,252993,259887,301251,315039
548,101325,101325,101325,246099,246099,259887,301251,308145
549,101325,101325,101325,246099,246099,259887,301251,308145
550,101325,101325,101325,246099,246099,259887,301251,308145
551,101325,101325,101325,246099,246099,259887,301251,308145
552,101325,101325,101325,246099,246099,252993,301251,308145
553,101325,101325,101325,246099,246099,252993,301251,308145
554,101325,101325,101325,246099,246099,252993,301251,308145
555,101325,101325,101325,246099,246099,252993,294357,308145
556,101325,101325,101325,246099,246099,252993,294357,308145
557,101325,101325,101325,246099,246099,252993,294357,308145
558,101325,101325,101325,246099,246099,252993,294357,308145
559,101325,101325,101325,246099,246099,252993,294357,308145
560,101325,101325,101325,246099,246099,252993,294357,308145
561,101325,101325,101325,246099,246099,252993,294357,301251
562,101325,101325,101325,239205,246099,252993,294357,301251
563,101325,101325,101325,239205,246099,252993,294357,301251
564,101325,101325,101325,239205,239205,252993,294357,301251
565,101325,101325,101325,239205,239205,252993,294357,301251
566,101325,101325,101325,239205,239205,252993,294357,301251
567,101325,101325,101325,239205,239205,252993,294357,301251
568,101325,101325,101325,239205,239205,246099,287463,301251
569,101325,101325,101325,239205,239205,246099,287463,301251
570,101325,101325,101325,239205,239205,246099,287463,301251
571,101325,101325,101325,239205,239205,246099,287463,301251
572,101325,101325,101325,239205,239205,246099,287463,301251
573,101325,101325,101325,239205,239205,246099,287463,294357
574,101325,101325,101325,239205,239205,246099,287463,294357
575,101325,101325,101325,239205,239205,246099,287463,294357
576,101325,101325,101325,239205,239205,246099,287463,294357
577,101325,101325,101325,239205,239205,246099,287463,294357
578,101325,101325,101325,232311,239205,246099,287463,294357
579,101325,101325,101325,232311,239205,246099,287463,294357
580,101325,101325,101325,232311,239205,246099,287463,294357
581,101325,101325,101325,232311,232311,246099,280569,294357
582,101325,101325,101325,232311,232311,246099,280569,294357
583,101325,101325,101325,232311,232311,246099,280569,294357
584,101325,101325,101325,232311,232311,239205,280569,294357
585,101325,101325,101325,232311,232311,239205,280569,294357
586,101325,101325,101325,232311,232311,239205,280569,294357
587,101325,101325,101325,232311,232311,239205,280569,287463
588,101325,101325,101325,232311,232311,239205,280569,287463
589,101325,101325,101325,232311,232311,239205,280569,287463
590,101325,101325,101325,232311,232311,239205,280569,287463
591,101325,101325,101325,232311,232311,239205,280569,287463
592,101325,101325,101325,232311,232311,239205,280569,287463
593,101325,101325,101325,232311,232311,239205,280569,287463
594,101325,101325,101325,232311,232311,239205,280569,287463
595,101325,101325,101325,232311,232311,239205,280569,287463
596,101325,101325,101325,225417,232311,239205,273675,287463
597,101325,101325,101325,225417,232311,239205,273675,287463
598,101325,101325,101325,225417,232311,239205,273675,287463
599,101325,101325,101325,225417,225417,239205,273675,287463
600,101325,101325,101325,225417,225417,239205,273675,287463
601,101325,101325,101325,225417,225417,239205,273675,280569
602,101325,101325,101325,225417,225417,232311,273675,280569
603,101325,101325,101325,225417,225417,232311,273675,280569
604,101325,101325,101325,225417,225417,232311,273675,280569
605,101325,101325,101325,225417,225417,232311,273675,280569
606,101325,101325,101325,225417,225417,232311,273675,280569
607,101325,101325,101325,225417,225417,232311,273675,280569
608,101325,101325,101325,225417,225417,232311,273675,280569
609,101325,101325,101325,225417,225417,232311,273675,280569
610,101325,101325,101325,225417,225417,232311,273675,280569
611,101325,101325,101325,225417,225417,232311,266781,280569
612,101325,101325,101325,225417,225417,232311,266781,280569
613,101325,101325,101325,225417,225417,232311,266781,280569
614,101325,101325,101325,225417,225417,232311,266781,280569
615,101325,101325,101325,218523,225417,232311,266781,280569
616,101325,101325,101325,218523,225417,232311,266781,273675
617,101325,101325,101325,218523,225417,232311,266781,273675
618,101325,101325,101325,218523,225417,232311,266781,273675
619,101325,101325,101325,218523,218523,232311,266781,273675
620,101325,101325,101325,218523,218523,225417,266781,273675
621,101325,101325,101325,218523,218523,225417,266781,273675
622,101325,101325,101325,218523,218523,225417,266781,273675
623,101325,101325,101325,218523,218523,225417,266781,273675
624,101325,101325,101325,218523,218523,225417,266781,273675
625,101325,101325,101325,218523,218523,225417,266781,273675
626,101325,101325,101325,218523,218523,225417,266781,273675
627,101325,101325,101325,218523,218523,225417,266781,273675
628,101325,101325,101325,218523,218523,225417,259887,273675
629,101325,101325,101325,218523,218523,225417,259887,273675
630,101325,101325,101325,218523,218523,225417,259887,273675
631,101325,101325,101325,218523,218523,225417,259887,273675
632,101325,101325,101325,218523,218523,225417,259887,266781
633,101325,101325,101325,218523,218523,225417,259887,266781
634,101325,101325,101325,218523,218523,225417,259887,266781
635,101325,101325,101325,218523,218523,225417,259887,266781
636,101325,101325,101325,211629,218523,225417,259887,266781
637,101325,101325,101325,211629,218523,225417,259887,266781
638,101325,101325,101325,211629,218523,225417,259887,266781
639,101325,101325,101325,211629,218523,225417,259887,266781
640,101325,101325,101325,211629,211629,225417,259887,266781
641,101325,101325,101325,211629,211629,218523,259887,266781
642,101325,101325,101325,211629,211629,218523,259887,266781
643,101325,101325,101325,211629,211629,218523,259887,266781
644,101325,101325,101325,211629,211629,218523,252993,266781
645,101325,101325,101325,211629,211629,218523,252993,266781
646,101325,101325,101325,211629,211629,218523,252993,266781
647,101325,101325,101325,211629,211629,218523,252993,266781
648,101325,101325,101325,211629,211629,218523,252993,266781
649,101325,101325,101325,211629,211629,218523,252993,259887
650,101325,101325,101325,211629,211629,218523,252993,259887
651,101325,101325,101325,211629,211629,218523,252993,259887
652,101325,101325,101325,211629,211629,218523,252993,259887
653,101325,101325,101325,211629,211629,218523,252993,259887
654,101325,101325,101325,211629,211629,218523,252993,259887
655,101325,101325,101325,211629,211629,218523,252993,259887
656,101325,101325,101325,211629,211629,218523,252993,259887
657,101325,101325,101325,211629,211629,218523,252993,259887
658,101325,101325,101325,204735,211629,218523,252993,259887
659,101325,101325,101325,204735,211629,218523,252993,259887
660,101325,101325,101325,204735,211629,218523,252993,259887
661,101325,101325,101325,204735,211629,218523,252993,259887
662,101325,101325,101325,204735,204735,218523,252993,259887
663,101325,101325,101325,204735,204735,211629,246099,259887
664,101325,101325,101325,204735,204735,211629,246099,259887
665,101325,101325,101325,204735,204735,211629,246099,259887
666,101325,101325,101325,204735,204735,211629,246099,252993
667,101325,101325,101325,204735,204735,211629,246099,252993
668,101325,101325,101325,204735,204735,211629,246099,252993
669,101325,101325,101325,204735,204735,211629,246099,252993
670,101325,101325,101325,204735,204735,211629,246099,252993
671,101325,101325,101325,204735,204735,211629,246099,252993
672,101325,101325,101325,204735,204735,211629,246099,252993
673,101325,101325,101325,204735,204735,211629,246099,252993
674,101325,101325,101325,204735,204735,211629,246099,252993
675,101325,101325,101325,204735,204735,211629,246099,252993
676,101325,101325,101325,204735,204735,211629,246099,252993
677,101325,101325,101325,204735,204735,211629,246099,252993
678,101325,101325,101325,204735,204735,211629,246099,252993
679,101325,101325,101325,204735,204735,211629,246099,252993
680,101325,101325,101325,204735,204735,211629,246099,252993
681,101325,101325,101325,204735,204735,211629,246099,252993
682,101325,101325,101325,204735,204735,211629,246099,252993
683,101325,101325,101325,204735,204735,211629,239205,252993
684,101325,101325,101325,204735,204735,211629,239205,252993
685,101325,101325,101325,197841,204735,211629,239205,246099
686,101325,101325,101325,197841,204735,204735,239205,246099
687,101325,101325,101325,197841,204735,204735,239205,246099
688,101325,101325,101325,197841,197841,204735,239205,246099
689,101325,101325,101325,197841,197841,204735,239205,246099
690,101325,101325,101325,197841,197841,204735,239205,246099
691,101325,101325,101325,197841,197841,204735,239205,246099
692,101325,101325,101325,197841,197841,204735,239205,246099
693,101325,101325,101325,197841,197841,204735,239205,246099
694,101325,101325,101325,197841,197841,204735,239205,246099
695,101325,101325,101325,197841,197841,204735,239205,246099
696,101325,101325,101325,197841,197841,204735,239205,246099
697,101325,101325,101325,197841,197841,204735,239205,246099
698,101325,101325,101325,197841,197841,204735,239205,246099
699,101325,101325,101325,197841,197841,204735,239205,246099
700,101325,101325,101325,197841,197841,204735,239205,246099
701,101325,101325,101325,197841,197841,204735,239205,246099
702,101325,101325,101325,197841,197841,204735,239205,246099
703,101325,101325,101325,197841,197841,204735,239205,246099
704,101325,101325,101325,197841,197841,204735,239205,246099
705,101325,101325,101325,197841,197841,204735,232311,239205
706,101325,101325,101325,197841,197841,204735,232311,239205
707,101325,101325,101325,197841,197841,204735,232311,239205
708,101325,101325,101325,197841,197841,204735,232311,239205
709,101325,101325,101325,197841,197841,204735,232311,239205
710,101325,101325,101325,190947,197841,204735,232311,239205
711,101325,101325,101325,190947,197841,204735,232311,239205
712,101325,101325,101325,190947,197841,197841,232311,239205
713,101325,101325,101325,190947,197841,197841,232311,239205
714,101325,101325,101325,190947,197841,197841,232311,239205
715,101325,101325,101325,190947,190947,197841,232311,239205
716,101325,101325,101325,190947,190947,197841,232311,239205
717,101325,101325,101325,190947,190947,197841,232311,239205
718,101325,101325,101325,190947,190947,197841,232311,239205
719,101325,101325,101325,190947,190947,197841,232311,239205
720,101325,101325,101325,190947,190947,197841,232311,239205
721,101325,101325,101325,190947,190947,197841,232311,239205
722,101325,101325,101325,190947,190947,197841,232311,239205
723,101325,101325,101325,190947,190947,197841,232311,239205
724,101325,101325,101325,190947,190947,197841,232311,239205
725,101325,101325,101325,190947,190947,197841,232311,239205
726,101325,101325,101325,190947,190947,197841,232311,239205
727,101325,101325,101325,190947,190947,197841,225417,232311
728,101325,101325,101325,190947,190947,197841,225417,232311
729,101325,101325,101325,190947,190947,197841,225417,232311
730,101325,101325,101325,190947,190947,197841,225417,232311
731,101325,101325,101325,190947,190947,197841,225417,232311
732,101325,101325,101325,190947,190947,197841,225417,232311
733,101325,101325,101325,190947,190947,197841,225417,232311
734,101325,101325,101325,190947,190947,197841,225417,232311
735,101325,101325,101325,190947,190947,197841,225417,232311
736,101325,101325,101325,190947,190947,197841,225417,232311
737,101325,101325,101325,190947,190947,197841,225417,232311
738,101325,101325,101325,190947,190947,197841,225417,232311
739,101325,101325,101325,190947,190947,197841,225417,232311
740,101325,101325,101325,184053,190947,197841,225417,232311
741,101325,101325,101325,184053,190947,190947,225417,232311
742,101325,101325,101325,184053,190947,190947,225417,232311
743,101325,101325,101325,184053,190947,190947,225417,232311
744,101325,101325,101325,184053,190947,190947,225417,232311
745,101325,101325,101325,184053,184053,190947,225417,232311
746,101325,101325,101325,184053,184053,190947,225417,232311
747,101325,101325,101325,184053,184053,190947,225417,232311
748,101325,101325,101325,184053,184053,190947,225417,232311
749,101325,101325,101325,184053,184053,190947,225417,232311
750,101325,101325,101325,184053,184053,190947,225417,225417
751,101325,101325,101325,184053,184053,190947,225417,225417
752,101325,101325,101325,184053,184053,190947,218523,225417
753,101325,101325,101325,184053,184053,190947,218523,225417
754,101325,101325,101325,184053,184053,190947,218523,225417
755,101325,101325,101325,184053,184053,190947,218523,225417
756,101325,101325,101325,184053,184053,190947,218523,225417
757,101325,101325,101325,184053,184053,190947,101325,225417
758,101325,101325,101325,184053,184053,190947,101325,225417
759,101325,101325,101325,184053,184053,190947,101325,225417
760,101325,101325,101325,184053,184053,190947,101325,225417
761,101325,101325,101325,184053,184053,190947,101325,225417
762,101325,101325,101325,184053,184053,190947,101325,225417
763,101325,101325,101325,184053,184053,190947,101325,225417
764,101325,101325,101325,184053,184053,190947,101325,225417
765,101325,101325,101325,184053,184053,190947,101325,225417
766,101325,101325,101325,184053,184053,190947,101325,225417
767,101325,101325,101325,184053,184053,190947,101325,225417
768,101325,101325,101325,184053,184053,190947,101325,225417
769,101325,101325,101325,184053,184053,190947,101325,225417
770,101325,101325,101325,184053,184053,190947,101325,225417
771,101325,101325,101325,184053,184053,184053,101325,225417
772,101325,101325,101325,177159,184053,184053,101325,225417
773,101325,101325,101325,177159,184053,184053,101325,225417
774,101325,101325,101325,177159,184053,184053,101325,225417
775,101325,101325,101325,177159,184053,184053,101325,218523
776,101325,101325,101325,177159,184053,184053,101325,218523
777,101325,101325,101325,177159,177159,184053,101325,218523
778,101325,101325,101325,177159,177159,184053,101325,218523
779,101325,101325,101325,177159,177159,184053,101325,218523
780,101325,101325,101325,177159,177159,184053,101325,218523
781,101325,101325,101325,177159,177159,184053,101325,218523
782,101325,101325,101325,177159,177159,184053,101325,218523
783,101325,101325,101325,177159,177159,184053,101325,218523
784,101325,101325,101325,177159,177159,184053,101325,218523
785,101325,101325,101325,177159,177159,184053,101325,218523
786,101325,101325,101325,177159,177159,184053,101325,218523
787,101325,101325,101325,177159,177159,184053,101325,218523
788,101325,101325,101325,177159,177159,184053,101325,218523
789,101325,101325,101325,177159,177159,184053,101325,218523
790,101325,101325,101325,177159,177159,184053,101325,218523
791,101325,101325,101325,177159,177159,184053,101325,218523
792,101325,101325,101325,177159,177159,184053,101325,218523
793,101325,101325,101325,177159,177159,184053,101325,101325
794,101325,101325,101325,177159,177159,184053,101325,101325
795,101325,101325,101325,177159,177159,184053,101325,101325
796,101325,101325,101325,177159,177159,184053,101325,101325
797,101325,101325,101325,177159,177159,184053,101325,101325
798,101325,101325,101325,177159,177159,184053,101325,101325
799,101325,101325,101325,177159,177159,184053,101325,101325
800,101325,101325,101325,177159,177159,184053,101325,101325
801,101325,101325,101325,177159,177159,184053,101325,101325
802,101325,101325,101325,177159,177159,184053,101325,101325
803,101325,101325,101325,177159,177159,184053,101325,101325
804,101325,101325,101325,177159,177159,184053,101325,101325
805,101325,101325,101325,177159,177159,184053,101325,101325
806,101325,101325,101325,177159,177159,177159,101325,101325
807,101325,101325,101325,177159,177159,177159,101325,101325
808,101325,101325,101325,177159,177159,177159,101325,101325
809,101325,101325,101325,177159,177159,177159,101325,101325
810,101325,101325,101325,170265,177159,177159,101325,101325
811,101325,101325,101325,170265,177159,177159,101325,101325
812,101325,101325,101325,170265,177159,177159,101325,101325
813,101325,101325,101325,170265,101325,177159,101325,101325
814,101325,101325,101325,170265,101325,177159,101325,101325
815,101325,101325,101325,170265,101325,177159,101325,101325
816,101325,101325,101325,170265,101325,177159,101325,101325
817,101325,101325,101325,170265,101325,177159,101325,101325
818,101325,101325,101325,170265,101325,177159,101325,101325
819,101325,101325,101325,170265,101325,177159,101325,101325
820,101325,101325,101325,170265,101325,177159,101325,101325
821,101325,101325,101325,170265,101325,177159,101325,101325
822,101325,101325,101325,170265,101325,177159,101325,101325
823,101325,101325,101325,170265,101325,177159,101325,101325
824,101325,101325,101325,170265,101325,177159,101325,101325
825,101325,101325,101325,170265,101325,177159,101325,101325
826,101325,101325,101325,170265,101325,177159,101325,101325
827,101325,101325,101325,170265,101325,177159,101325,101325
828,101325,101325,101325,170265,101325,177159,101325,101325
829,101325,101325,101325,170265,101325,177159,101325,101325
830,101325,101325,101325,170265,101325,177159,101325,101325
831,101325,101325,101325,170265,101325,101325,101325,101325
832,101325,101325,101325,170265,101325,101325,101325,101325
833,101325,101325,101325,170265,101325,101325,101325,101325
834,101325,101325,101325,170265,101325,101325,101325,101325
835,101325,101325,101325,170265,101325,101325,101325,101325
