time,CT4_600_1,CT4_600_2,CT4_600_3,CT4_800_1,CT4_800_2,CT4_800_3,CT4_1000_1,CT4_1000_2
80,990651,1107849,1149213,1969599,1928235,2010963,2355663,2410815
81,976863,1094061,1135425,1948917,1907553,1990281,2328087,2390133
82,963075,1080273,1121637,1928235,1886871,1969599,2300511,2362557
83,949287,1066485,1107849,1907553,1866189,1948917,2279829,2334981
84,935499,1052697,1094061,1886871,1852401,1928235,2252253,2314299
85,921711,1038909,1080273,1866189,1831719,1907553,2231571,2286723
86,914817,1025121,1066485,1852401,1811037,1886871,2203995,2259147
87,901029,1011333,1052697,1831719,1790355,1866189,2183313,2238465
88,887241,997545,1038909,1811037,1776567,1852401,2162631,2217783
89,880347,990651,1032015,1790355,1755885,1831719,2141949,2190207
90,866559,976863,1018227,1776567,1742097,1811037,2114373,2169525
91,852771,963075,1004439,1755885,1721415,1797249,2093691,2148843
92,845877,949287,997545,1742097,1707627,1776567,2073009,2128161
93,832089,942393,983757,1721415,1686945,1755885,2052327,2107479
94,825195,928605,969969,1707627,1673157,1742097,2031645,2086797
95,811407,914817,963075,1686945,1652475,1721415,2010963,2066115
96,804513,907923,949287,1673157,1638687,1707627,1990281,2045433
97,797619,894135,942393,1652475,1624899,1693839,1976493,2024751
98,783831,887241,928605,1638687,1604217,1673157,1955811,2004069
99,776937,873453,921711,1624899,1590429,1659369,1935129,1983387
100,770043,866559,907923,1611111,1576641,1645581,1914447,1969599
101,756255,852771,901029,1590429,1562853,1624899,1900659,1948917
102,749361,845877,887241,1576641,1549065,1611111,1879977,1928235
103,742467,838983,880347,1562853,1535277,1597323,1859295,1914447
104,735573,825195,873453,1549065,1514595,1583535,1845507,1893765
105,721785,818301,866559,1535277,1500807,1569747,1824825,1873083
106,714891,811407,852771,1521489,1487019,1555959,1811037,1859295
107,707997,797619,845877,1507701,1473231,1535277,1797249,1838613
108,701103,790725,838983,1493913,1459443,1521489,1776567,1824825
109,694209,783831,832089,1480125,1452549,1507701,1762779,1811037
110,687315,776937,818301,1466337,1438761,1493913,1742097,1790355
111,680421,763149,811407,1452549,1424973,1480125,1728309,1776567
112,673527,756255,804513,1438761,1411185,1473231,1714521,1755885
113,659739,749361,797619,1424973,1397397,1459443,1700733,1742097
114,652845,742467,790725,1411185,1383609,1445655,1680051,1728309
115,645951,735573,783831,1397397,1376715,1431867,1666263,1714521
116,639057,728679,770043,1390503,1362927,1418079,1652475,1700733
117,632163,721785,763149,1376715,1349139,1404291,1638687,1680051
118,632163,714891,756255,1362927,1342245,1397397,1624899,1666263
119,625269,707997,749361,1349139,1328457,1383609,1611111,1659369
120,618375,701103,742467,1342245,1314669,1369821,1597323,1645581
121,611481,694209,735573,1328457,1307775,1362927,1583535,1638687
122,604587,680421,728679,1321563,1293987,1349139,1569747,1624899
123,597693,680421,721785,1307775,1280199,1335351,1555959,1611111
124,590799,673527,714891,1293987,1273305,1328457,1542171,1597323
125,583905,666633,707997,1287093,1259517,1314669,1528383,1583535
126,583905,659739,701103,1273305,1252623,1300881,1514595,1569747
127,577011,652845,694209,1266411,1238835,1293987,1507701,1555959
128,570117,645951,694209,1252623,1231941,1280199,1493913,1542171
129,563223,639057,687315,1245729,1218153,1273305,1480125,1528383
130,556329,632163,680421,1231941,1211259,1259517,1466337,1514595
131,556329,625269,673527,1225047,1204365,1252623,1459443,1507701
132,549435,625269,666633,1211259,1190577,1238835,1445655,1493913
133,542541,618375,659739,1204365,1183683,1231941,1431867,1480125
134,535647,611481,652845,1190577,1176789,1225047,1424973,1466337
135,535647,604587,645951,1183683,1163001,1211259,1411185,1459443
136,528753,597693,645951,1176789,1156107,1204365,1397397,1445655
137,528753,590799,639057,1163001,1149213,1197471,1390503,1431867
138,521859,590799,632163,1156107,1135425,1183683,1376715,1424973
139,514965,583905,625269,1149213,1128531,1176789,1369821,1411185
140,508071,577011,625269,1135425,1121637,1169895,1356033,1404291
141,508071,570117,618375,1128531,1114743,1156107,1349139,1390503
142,501177,570117,611481,1121637,1100955,1149213,1335351,1383609
143,494283,563223,604587,1114743,1094061,1142319,1328457,1369821
144,494283,556329,604587,1100955,1087167,1128531,1314669,1362927
145,487389,556329,597693,1094061,1080273,1121637,1307775,1349139
146,480495,549435,590799,1087167,1073379,1114743,1293987,1342245
147,480495,542541,590799,1080273,1059591,1107849,1287093,1328457
148,480495,542541,583905,1073379,1052697,1100955,1280199,1321563
149,473601,535647,577011,1066485,1045803,1094061,1266411,1314669
150,466707,528753,577011,1052697,1038909,1080273,1259517,1300881
151,466707,528753,570117,1045803,1032015,1073379,1252623,1293987
152,459813,521859,563223,1038909,1025121,1066485,1238835,1280199
153,459813,514965,563223,1032015,1018227,1059591,1231941,1273305
154,452919,514965,556329,1025121,1011333,1052697,1225047,1266411
155,446025,508071,556329,1018227,1004439,1045803,1218153,1252623
156,446025,508071,549435,1011333,997545,1038909,1204365,1245729
157,446025,501177,542541,1004439,990651,1032015,1197471,1238835
158,439131,494283,542541,997545,983757,1025121,1190577,1231941
159,439131,494283,535647,990651,976863,1018227,1183683,1225047
160,432237,487389,535647,983757,969969,1011333,1169895,1211259
161,425343,487389,528753,976863,963075,1004439,1163001,1204365
162,425343,480495,521859,969969,956181,997545,1156107,1197471
163,425343,480495,521859,963075,949287,990651,1149213,1190577
164,418449,473601,521859,956181,942393,983757,1142319,1183683
165,418449,473601,514965,949287,935499,976863,1135425,1169895
166,418449,466707,508071,942393,928605,969969,1128531,1163001
167,411555,459813,508071,935499,921711,963075,1121637,1156107
168,411555,459813,501177,928605,914817,956181,1114743,1149213
169,404661,459813,501177,921711,914817,949287,1100955,1142319
170,404661,452919,501177,921711,907923,942393,1094061,1135425
171,397767,452919,494283,914817,901029,935499,1087167,1128531
172,397767,446025,487389,907923,894135,928605,1080273,1121637
173,397767,446025,487389,901029,887241,928605,1073379,1114743
174,390873,439131,480495,894135,880347,921711,1066485,1107849
175,390873,439131,480495,887241,880347,914817,1059591,1100955
176,383979,432237,473601,880347,873453,907923,1052697,1094061
177,383979,432237,473601,880347,866559,901029,1045803,1087167
178,383979,425343,473601,873453,859665,894135,1038909,1080273
179,377085,425343,466707,866559,852771,894135,1038909,1073379
180,377085,425343,466707,859665,852771,887241,1025121,1066485
181,370191,418449,466707,852771,845877,880347,1025121,1059591
182,370191,418449,459813,845877,838983,873453,1018227,1052697
183,370191,418449,459813,845877,838983,866559,1011333,1045803
184,363297,411555,452919,838983,832089,866559,1004439,1038909
185,363297,411555,452919,832089,825195,859665,997545,1032015
186,363297,404661,446025,832089,818301,852771,990651,1025121
187,356403,404661,446025,825195,811407,845877,983757,1025121
188,356403,404661,446025,818301,811407,845877,976863,1018227
189,356403,397767,439131,818301,804513,838983,976863,1011333
190,349509,397767,439131,811407,797619,832089,969969,1004439
191,349509,390873,432237,804513,797619,825195,963075,997545
192,349509,390873,432237,797619,790725,825195,956181,990651
193,342615,390873,432237,797619,783831,818301,949287,983757
194,342615,383979,425343,790725,783831,811407,942393,983757
195,342615,383979,425343,783831,776937,811407,942393,976863
196,335721,383979,418449,783831,770043,804513,935499,969969
197,335721,377085,418449,776937,770043,797619,928605,963075
198,335721,377085,418449,770043,763149,797619,921711,956181
199,328827,377085,411555,770043,763149,790725,914817,949287
200,328827,370191,411555,763149,756255,783831,914817,949287
201,328827,370191,411555,763149,749361,783831,907923,942393
202,321933,370191,404661,756255,749361,776937,901029,935499
203,321933,363297,404661,749361,742467,770043,901029,935499
204,321933,363297,404661,749361,735573,770043,894135,928605
205,321933,363297,397767,742467,735573,763149,887241,921711
206,315039,356403,397767,735573,728679,763149,887241,914817
207,315039,356403,397767,735573,728679,756255,880347,907923
208,315039,356403,390873,728679,721785,749361,873453,907923
209,308145,349509,390873,728679,714891,749361,873453,901029
210,308145,349509,390873,721785,714891,742467,866559,894135
211,308145,349509,383979,714891,714891,742467,859665,894135
212,308145,342615,383979,714891,707997,735573,852771,887241
213,301251,342615,383979,707997,701103,728679,852771,880347
214,301251,342615,377085,707997,701103,728679,845877,880347
215,301251,335721,377085,701103,694209,728679,845877,873453
216,301251,335721,377085,694209,694209,721785,838983,866559
217,294357,335721,370191,694209,694209,714891,832089,866559
218,294357,335721,370191,694209,687315,714891,832089,859665
219,294357,328827,370191,687315,680421,707997,825195,852771
220,294357,328827,370191,687315,680421,707997,818301,852771
221,294357,328827,363297,680421,673527,701103,818301,845877
222,287463,321933,363297,673527,673527,694209,811407,845877
223,287463,321933,363297,673527,673527,694209,811407,838983
224,287463,321933,356403,673527,666633,694209,804513,832089
225,287463,321933,356403,666633,659739,687315,797619,832089
226,280569,315039,356403,666633,659739,687315,797619,825195
227,280569,315039,356403,659739,652845,680421,790725,818301
228,280569,315039,349509,652845,652845,673527,790725,818301
229,280569,315039,349509,652845,645951,673527,783831,811407
230,280569,308145,349509,652845,645951,673527,776937,811407
231,273675,308145,349509,645951,645951,666633,776937,804513
232,273675,308145,342615,645951,639057,666633,776937,797619
233,273675,308145,342615,645951,639057,659739,770043,797619
234,273675,301251,342615,639057,632163,659739,763149,797619
235,266781,301251,342615,639057,632163,659739,763149,790725
236,266781,301251,335721,632163,632163,652845,756255,783831
237,266781,301251,335721,632163,625269,645951,756255,783831
238,266781,301251,335721,625269,625269,645951,749361,776937
239,266781,294357,335721,625269,618375,639057,749361,776937
240,259887,294357,328827,625269,618375,639057,742467,776937
241,259887,294357,328827,618375,611481,639057,742467,770043
242,259887,294357,328827,618375,611481,632163,735573,763149
243,259887,287463,328827,611481,611481,632163,735573,763149
244,259887,287463,321933,611481,604587,632163,728679,756255
245,259887,287463,321933,604587,604587,625269,728679,756255
246,252993,287463,321933,604587,597693,625269,721785,749361
247,252993,287463,321933,604587,597693,618375,714891,749361
248,252993,280569,321933,597693,597693,618375,714891,742467
249,252993,280569,315039,597693,590799,618375,714891,735573
250,252993,280569,315039,590799,590799,611481,707997,735573
251,252993,280569,315039,590799,583905,611481,707997,735573
252,246099,280569,315039,590799,583905,604587,707997,728679
253,246099,273675,315039,583905,583905,604587,701103,728679
