time,inlet-p,outlet-p
14.1,477932.84014104,101325
14.2,474428.54762955,101325
14.3,470973.90603408,101325
14.4,467567.63453966,101325
14.5,464208.79702237,101325
14.6,460896.48108402,101325
14.7,457629.79720547,101325
14.8,454407.87794978,101325
14.9,451229.87721059,101325
15,448094.96950164,101325
15.1,445002.34928371,101325
15.2,441951.23032597,101325
15.3,438940.84509862,101325
15.4,435970.44419455,101325
15.5,433039.29577755,101325
15.6,430146.68505524,101325
15.7,427291.91377481,101325
15.8,424474.29973993,101325
15.9,421693.17634759,101325
16,418947.89214323,101325
16.1,416237.81039339,101325
16.2,413562.30867439,101325
16.3,410920.77847648,101325
16.4,408312.62482227,101325
16.5,405737.26589884,101325
16.6,403194.13270267,101325
16.7,400682.66869684,101325
16.8,398202.32947978,101325
16.9,395752.58246506,101325
17,393332.90657173,101325
17.1,390942.79192458,101325
17.2,388581.73956409,101325
17.3,386249.26116548,101325
17.4,383944.87876651,101325
17.5,381668.1245037,101325
17.6,379418.54035664,101325
17.7,377195.67789999,101325
17.8,374999.09806293,101325
17.9,372828.37089579,101325
18,370683.07534354,101325
18.1,368562.79902591,101325
18.2,366467.13802393,101325
18.3,364395.69667257,101325
18.4,362348.0873594,101325
18.5,360323.93032894,101325
18.6,358322.85349256,101325
18.7,356344.49224375,101325
18.8,354388.48927853,101325
18.9,352454.49442091,101325
19,350542.16445314,101325
19.1,348651.16295068,101325
19.2,346781.16012169,101325
19.3,344931.83265089,101325
19.4,343102.86354766,101325
19.5,341293.94199833,101325
19.6,339504.76322232,101325
19.7,337735.02833229,101325
19.8,335984.44419792,101325
19.9,334252.72331336,101325
20,332539.58366822,101325
20.1,330844.74862194,101325
20.2,329167.94678146,101325
20.3,327508.91188215,101325
20.4,325867.38267178,101325
20.5,324243.1027976,101325
20.6,322635.82069627,101325
20.7,321045.28948671,101325
20.8,319471.26686563,101325
20.9,317913.51500584,101325
21,316371.80045707,101325
21.1,314845.8940494,101325
21.2,313335.5707991,101325
21.3,311840.60981686,101325
21.4,310360.79421837,101325
21.5,308895.9110371,101325
21.6,307445.75113936,101325
21.7,306010.10914133,101325
21.8,304588.78332837,101325
21.9,303181.57557611,101325
22,301788.29127369,101325
22.1,300408.73924879,101325
22.2,299042.73169452,101325
22.3,297690.08409811,101325
22.4,296350.61517138,101325
22.5,295024.14678286,101325
22.6,293710.50389156,101325
22.7,292409.51448242,101325
22.8,291121.00950318,101325
22.9,289844.82280296,101325
23,288580.7910721,101325
23.1,287328.75378364,101325
23.2,286088.55313607,101325
23.3,284860.03399748,101325
23.4,283643.04385106,101325
23.5,282437.43274182,101325
23.6,281243.05322468,101325
23.7,280059.76031365,101325
23.8,278887.41143229,101325
23.9,277725.86636533,101325
24,276574.98721131,101325
24.1,275434.63833651,101325
24.2,274304.68632973,101325
24.3,273184.99995829,101325
24.4,272075.45012493,101325
24.5,270975.90982578,101325
24.6,269886.25410922,101325
24.7,268806.36003573,101325
24.8,267736.10663863,101325
24.9,266675.37488571,101325
25,265624.04764175,101325
25.1,264582.00963183,101325
25.2,263549.14740554,101325
25.3,262525.34930194,101325
25.4,261510.50541531,101325
25.5,260504.50756166,101325
25.6,259507.24924601,101325
25.7,258518.62563039,101325
25.8,257538.53350248,101325
25.9,256566.87124504,101325
26,255603.53880595,101325
26.1,254648.43766892,101325
26.2,253701.4708248,101325
26.3,252762.54274364,101325
26.4,251831.55934717,101325
26.5,250908.42798203,101325
26.6,249993.0573935,101325
26.7,249085.35769982,101325
26.8,248185.24036705,101325
26.9,247292.61818447,101325
27,246407.40524051,101325
27.1,245529.51689918,101325
27.2,244658.86977701,101325
27.3,243795.38172049,101325
27.4,242938.97178391,101325
27.5,242089.56020779,101325
27.6,241247.06839767,101325
27.7,240411.41890334,101325
27.8,239582.53539858,101325
27.9,238760.34266121,101325
28,237944.76655369,101325
