time,outlet-p,pellet-inlet-p,viscosity_pp
71,101325,583756.4002146,3.0196861854867e-05
72,101325,563543.72177866,3.0196861854867e-05
73,101325,544151.16051908,3.0196861854867e-05
74,101325,525548.70332614,3.0196861854867e-05
75,101325,507707.059657,3.0196861854867e-05
76,101325,490597.69022953,3.0196861854867e-05
77,101325,474192.82840068,3.0196861854867e-05
78,101325,458465.4951276,3.0196861854867e-05
79,101325,443389.50832468,3.0196861854867e-05
80,101325,428939.48734896,3.0196861854867e-05
81,101325,415090.85327121,3.0196861854867e-05
82,101325,401819.8255202,3.0196861854867e-05
83,101325,389103.41542386,3.0196861854867e-05
84,101325,376919.41711273,3.0196861854867e-05
85,101325,365246.39619833,3.0196861854867e-05
86,101325,354063.6765915,3.0196861854867e-05
87,101325,343351.3257825,3.0196861854867e-05
88,101325,333090.13886664,3.0196861854867e-05
89,101325,323261.62156438,3.0196861854867e-05
90,101325,313847.97245433,3.0196861854867e-05
91,101325,304832.06461005,3.0196861854867e-05
92,101325,296197.42680708,3.0196861854867e-05
93,101325,287928.22444516,3.0196861854867e-05
94,101325,280009.24031109,3.0196861854867e-05
95,101325,272425.85529081,3.0196861854867e-05
96,101325,265164.02912393,3.0196861854867e-05
97,101325,258210.28128078,3.0196861854867e-05
98,101325,251551.67203015,3.0196861854867e-05
99,101325,245175.78375516,3.0196861854867e-05
100,101325,239070.70256599,3.0196861854867e-05
101,101325,233225.00024965,3.0196861854867e-05
102,101325,227627.71658987,3.0196861854867e-05
103,101325,222268.3420842,3.0196861854867e-05
104,101325,217136.8010795,3.0196861854867e-05
105,101325,212223.43534242,3.0196861854867e-05
106,101325,207518.9880772,3.0196861854867e-05
107,101325,203014.5883993,3.0196861854867e-05
108,101325,198701.73627042,3.0196861854867e-05
109,101325,194572.28789735,3.0196861854867e-05
110,101325,190618.79745596,3.0196861854867e-05
111,101325,186833.40557825,3.0196861854867e-05
112,101325,183208.95615952,3.0196861854867e-05
113,101325,179738.59544141,3.0196861854867e-05
114,101325,176415.75970273,3.0196861854867e-05
115,101325,173234.16338868,3.0196861854867e-05
116,101325,170187.78767054,3.0196861854867e-05
117,101325,167270.86942729,3.0196861854867e-05
118,101325,164477.89063927,3.0196861854867e-05
119,101325,161803.56818375,3.0196861854867e-05
120,101325,159242.84402168,3.0196861854867e-05
121,101325,156790.87576466,3.0196861854867e-05
122,101325,154443.02761128,3.0196861854867e-05
123,101325,152194.8616414,3.0196861854867e-05
124,101325,150042.12945731,3.0196861854867e-05
125,101325,147980.7641606,3.0196861854867e-05
126,101325,146006.87265343,3.0196861854867e-05
127,101325,144116.72825326,3.0196861854867e-05
128,101325,142306.76361008,3.0196861854867e-05
129,101325,140573.56391541,3.0196861854867e-05
130,101325,138913.86039241,3.0196861854867e-05
131,101325,137324.52405683,3.0196861854867e-05
132,101325,135802.55973855,3.0196861854867e-05
133,101325,134345.10035395,3.0196861854867e-05
134,101325,132949.40141922,3.0196861854867e-05
135,101325,131612.83579554,3.0196861854867e-05
136,101325,130332.88865671,3.0196861854867e-05
137,101325,129107.15267053,3.0196861854867e-05
138,101325,127933.32338527,3.0196861854867e-05
139,101325,126809.19481305,3.0196861854867e-05
140,101325,125732.65520195,3.0196861854867e-05
141,101325,124701.68298911,3.0196861854867e-05
142,101325,123714.34292752,3.0196861854867e-05
143,101325,122768.78237892,3.0196861854867e-05
144,101325,121863.2277663,3.0196861854867e-05
145,101325,120995.98117887,3.0196861854867e-05
146,101325,120165.41712335,3.0196861854867e-05
147,101325,119369.97941528,3.0196861854867e-05
148,101325,118608.17820436,3.0196861854867e-05
149,101325,117878.58712815,3.0196861854867e-05
150,101325,117179.8405886,3.0196861854867e-05
