time,outlet-p,pellet-inlet-p,viscosity_pp
0,0,4293339,0
1,3714179,4293339,1.8469051721849e-05
2,1432014,4293371.9385084,1.8469051721849e-05
3,590853,4293503.65903,1.8469051721849e-05
4,301273,4293140.5451921,1.8469051721849e-05
5,204746,4289557.5878611,1.8469051721849e-05
6,142694,4278714.9428089,1.8469051721849e-05
7,122009,4257600.2530473,1.8469051721849e-05
8,108220,4225450.0828085,1.8469051721849e-05
9,108220,4183418.7271005,1.8469051721849e-05
10,108220,4133588.7272477,1.8469051721849e-05
11,101325,4078122.062031,1.8469051721849e-05
12,101325,4018793.7930611,1.8469051721849e-05
13,101325,3956921.1591192,1.8469051721849e-05
14,101325,3893458.6542597,1.8469051721849e-05
15,101325,3829072.7912787,1.8469051721849e-05
16,101325,3764204.9115464,1.8469051721849e-05
17,101325,3699135.4395681,1.8469051721849e-05
18,101325,3634039.333198,1.8469051721849e-05
19,101325,3569026.4187034,1.8469051721849e-05
20,101325,3504167.7263369,1.8469051721849e-05
21,101325,3439511.6468373,1.8469051721849e-05
22,101325,3375093.5104867,1.8469051721849e-05
23,101325,3310941.1719311,1.8469051721849e-05
24,101325,3247078.2492493,1.8469051721849e-05
25,101325,3183526.0092542,1.8469051721849e-05
26,101325,3120304.4774564,1.8469051721849e-05
27,101325,3057433.1041711,1.8469051721849e-05
28,101325,2994931.1749234,1.8469051721849e-05
29,101325,2932818.0713795,1.8469051721849e-05
30,101325,2871113.4425742,1.8469051721849e-05
31,101325,2809837.3199571,1.8469051721849e-05
32,101325,2749010.1949442,1.8469051721849e-05
33,101325,2688653.0692616,1.8469051721849e-05
34,101325,2628787.4835956,1.8469051721849e-05
35,101325,2569435.5273373,1.8469051721849e-05
36,101325,2510619.8306596,1.8469051721849e-05
37,101325,2452363.5393099,1.8469051721849e-05
38,101325,2394690.2720614,1.8469051721849e-05
39,101325,2337624.060614,1.8469051721849e-05
40,101325,2281189.271776,1.8469051721849e-05
41,101325,2225410.5119563,1.8469051721849e-05
42,101325,2170312.5143258,1.8469051721849e-05
43,101325,2115920.0094342,1.8469051721849e-05
44,101325,2062257.5805802,1.8469051721849e-05
45,101325,2009349.5057988,1.8469051721849e-05
46,101325,1957219.5889076,1.8469051721849e-05
47,101325,1905890.9826175,1.8469051721849e-05
48,101325,1855386.0072086,1.8469051721849e-05
49,101325,1805725.9686639,1.8469051721849e-05
50,101325,1756930.9804064,1.8469051721849e-05
51,101325,1709019.7928579,1.8469051721849e-05
52,101325,1662009.6349337,1.8469051721849e-05
53,101325,1615916.0712847,1.8469051721849e-05
54,101325,1570752.8786204,1.8469051721849e-05
55,101325,1526531.9438219,1.8469051721849e-05
56,101325,1483263.1858122,1.8469051721849e-05
57,101325,1440954.5023535,1.8469051721849e-05
58,101325,1399611.7421167,1.8469051721849e-05
59,101325,1359238.7015896,1.8469051721849e-05
60,101325,1319837.1456719,1.8469051721849e-05
61,101325,1281406.8502035,1.8469051721849e-05
62,101325,1243945.6641899,1.8469051721849e-05
63,101325,1207449.5891492,1.8469051721849e-05
64,101325,1171912.8727987,1.8469051721849e-05
65,101325,1137328.1142245,1.8469051721849e-05
66,101325,1103686.377713,1.8469051721849e-05
67,101325,1070977.3125558,1.8469051721849e-05
68,101325,1039189.2763374,1.8469051721849e-05
69,101325,1008309.7373919,1.8469051721849e-05
70,101325,978324.5487771,1.8469051721849e-05
