time,CT1_600_1,CT1_800_1,CT1_1000_1,CT1_1000_2,CT1_800_2,CT1_600_2,CT1_1000_3,CT1_1000_4,CT1_1000_5,CT1_1000_6,CT1_1000_7,CT1_600_3
0,4223937,5692359,6974643,7022901,5644101,4327347,6967749,6981537,7002219,6988431,7022901,4279089
1,3865449,5292507,6574791,6581685,5133945,3975753,6443805,6388653,6436911,6443805,6505851,4141209
2,3148473,4354923,5506221,5457963,4223937,3286353,5292507,5244249,5292507,5306295,5375235,3955071
3,2514225,3506961,4499697,4410075,3424233,2672787,4272195,4244619,4285983,4292877,4348029,3755145
4,2045433,2824455,3686205,3569007,2783091,2183313,3465597,3444915,3479385,3493173,3534537,3500067
5,1638687,2328087,3031275,2900289,2272935,1797249,2817561,2810667,2838243,2852031,2893395,3313929
6,1321563,1900659,2541801,2369451,1873083,1480125,2348769,2307405,2334981,2390133,2417709,3134685
7,1059591,1562853,2107479,1955811,1549065,1252623,1942023,1914447,1935129,1976493,2004069,2927865
8,873453,1300881,1755885,1618005,1328457,1038909,1611111,1590429,1604217,1645581,1666263,2783091
9,680421,1038909,1459443,1362927,1066485,894135,1335351,1328457,1335351,1383609,1404291,2596953
10,590799,894135,1231941,1149213,921711,756255,1135425,1128531,1135425,1121637,1142319,2452179
11,452919,707997,1032015,956181,776937,625269,935499,969969,935499,983757,997545,2314299
12,397767,618375,845877,818301,639057,535647,790725,783831,783831,790725,804513,2176419
13,321933,528753,707997,687315,556329,459813,659739,694209,701103,707997,721785,2093691
14,266781,439131,625269,583905,480495,390873,570117,590799,563223,570117,583905,1955811
15,218523,370191,535647,494283,404661,328827,494283,508071,508071,514965,521859,1866189
16,184053,315039,459813,418449,342615,287463,418449,432237,432237,432237,446025,1728309
17,156477,266781,390873,356403,294357,246099,356403,370191,370191,370191,383979,1631793
18,142689,225417,335721,308145,252993,218523,308145,321933,315039,321933,328827,1583535
19,128901,197841,287463,266781,225417,190947,266781,273675,273675,273675,280569,1493913
20,122007,177159,252993,232311,197841,170265,232311,239205,239205,239205,246099,1411185
21,115113,156477,218523,204735,177159,156477,204735,211629,211629,211629,218523,1335351
22,115113,142689,197841,184053,156477,142689,184053,190947,190947,190947,197841,1266411
23,108219,128901,177159,163371,149583,135795,163371,170265,170265,170265,177159,1197471
24,108219,122007,156477,149583,135795,128901,149583,156477,156477,156477,156477,1135425
25,108219,115113,142689,135795,128901,122007,142689,142689,142689,142689,142689,1073379
26,108219,115113,135795,128901,122007,115113,135795,135795,135795,135795,135795,1018227
27,108219,108219,128901,122007,115113,115113,122007,128901,128901,122007,128901,963075
28,108219,108219,122007,122007,115113,115113,122007,122007,122007,122007,122007,914817
29,101325,108219,115113,115113,108219,108219,115113,115113,115113,115113,115113,866559
30,101325,108219,115113,115113,108219,108219,115113,115113,115113,115113,115113,818301
31,101325,108219,108219,115113,108219,108219,115113,108219,108219,108219,108219,776937
32,101325,108219,108219,108219,108219,108219,108219,108219,108219,108219,108219,742467
33,101325,101325,108219,108219,108219,108219,108219,108219,108219,108219,108219,701103
34,101325,101325,108219,108219,108219,101325,108219,108219,108219,108219,108219,666633
35,101325,101325,108219,108219,101325,101325,108219,108219,108219,108219,108219,639057
36,101325,101325,108219,108219,101325,101325,108219,108219,101325,101325,101325,604587
37,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,577011
38,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,549435
39,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,521859
40,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,501177
41,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,480495
42,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,452919
43,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,432237
44,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,418449
45,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,397767
