time,CT5_1000_3,CT5_800_1,CT5_800_2
198,3148473,2590059,2603847
199,3141579,2583165,2596953
200,3127791,2576271,2590059
201,3120897,2569377,2576271
202,3107109,2555589,2569377
203,3100215,2548695,2562483
204,3086427,2541801,2555589
205,3079533,2534907,2548695
206,3065745,2528013,2541801
207,3058851,2521119,2534907
208,3045063,2507331,2521119
209,3038169,2500437,2514225
210,3031275,2493543,2507331
211,3017487,2486649,2500437
212,3010593,2479755,2493543
213,2996805,2472861,2486649
214,2989911,2465967,2479755
215,2983017,2459073,2472861
216,2969229,2452179,2465967
217,2962335,2445285,2459073
218,2948547,2438391,2452179
219,2941653,2431497,2445285
220,2934759,2417709,2431497
221,2920971,2410815,2424603
222,2914077,2403921,2417709
223,2907183,2397027,2410815
224,2893395,2390133,2403921
225,2886501,2383239,2397027
226,2879607,2376345,2390133
227,2865819,2369451,2383239
228,2858925,2362557,2376345
229,2852031,2355663,2369451
230,2845137,2348769,2362557
231,2831349,2341875,2355663
232,2824455,2334981,2348769
233,2817561,2328087,2341875
234,2803773,2321193,2334981
235,2796879,2314299,2328087
236,2789985,2307405,2321193
237,2783091,2300511,2314299
238,2769303,2293617,2307405
239,2762409,2286723,2300511
240,2755515,2279829,2293617
241,2748621,2272935,2293617
242,2741727,2266041,2279829
243,2727939,2266041,2279829
244,2721045,2252253,2272935
245,2714151,2252253,2266041
246,2707257,2245359,2259147
247,2700363,2238465,2252253
248,2686575,2231571,2245359
249,2679681,2224677,2238465
250,2672787,2217783,2231571
251,2665893,2210889,2224677
252,2658999,2203995,2217783
253,2652105,2197101,2210889
254,2645211,2190207,2210889
255,2631423,2183313,2203995
256,2624529,2183313,2197101
257,2617635,2176419,2190207
258,2610741,2169525,2183313
259,2603847,2162631,2176419
260,2596953,2155737,2169525
261,2590059,2148843,2162631
262,2583165,2141949,2162631
263,2576271,2135055,2155737
264,2562483,2135055,2148843
265,2555589,2128161,2141949
266,2548695,2121267,2135055
267,2541801,2114373,2128161
268,2534907,2107479,2121267
269,2528013,2100585,2121267
270,2521119,2093691,2114373
271,2514225,2093691,2107479
272,2507331,2086797,2100585
273,2500437,2079903,2093691
274,2493543,2073009,2086797
275,2486649,2066115,2086797
276,2479755,2059221,2079903
277,2472861,2059221,2073009
278,2465967,2052327,2066115
279,2459073,2045433,2059221
280,2452179,2038539,2059221
281,2445285,2031645,2052327
282,2438391,2031645,2045433
283,2431497,2024751,2038539
284,2424603,2017857,2031645
285,2417709,2010963,2031645
286,2410815,2010963,2024751
287,2403921,2004069,2017857
288,2397027,1997175,2010963
289,2390133,1990281,2010963
290,2383239,1983387,2004069
291,2376345,1983387,1997175
292,2369451,1976493,1990281
293,2362557,1969599,1983387
294,2355663,1962705,1983387
295,2348769,1955811,1976493
296,2341875,1955811,1969599
297,2334981,1948917,1969599
298,2328087,1942023,1962705
299,2321193,1942023,1955811
300,2314299,1942023,1948917
301,2307405,1935129,1942023
302,2307405,1928235,1942023
