results:converged,results:inlet-p:value
True,1791765.1444426
True,1300043.414866
True,974321.5362339
True,753673.76096864
True,599419.07555695
True,488286.59348733
True,406051.34024419
True,343792.72852073
True,296079.84659666
True,258612.27578317
True,228790.31701808
