time,outlet-p,pellet-inlet-p,viscosity_pp
0,0,4293339,0
1,3714179,4293339,3.6284499828581e-05
2,1432014,4293259.0247541,3.6284499828581e-05
3,590853,4292017.6368914,3.6284499828581e-05
4,301273,4285100.0544274,3.6284499828581e-05
5,204746,4264954.439994,3.6284499828581e-05
6,142694,4226000.9269392,3.6284499828581e-05
7,122009,4167629.1184616,3.6284499828581e-05
8,108220,4093288.4149889,3.6284499828581e-05
9,108220,4007970.8021762,3.6284499828581e-05
10,108220,3916271.7452893,3.6284499828581e-05
11,101325,3821525.3792369,3.6284499828581e-05
12,101325,3725792.3692605,3.6284499828581e-05
13,101325,3630296.8263777,3.6284499828581e-05
14,101325,3535743.2298983,3.6284499828581e-05
15,101325,3442473.3639248,3.6284499828581e-05
16,101325,3350597.436295,3.6284499828581e-05
17,101325,3260103.867316,3.6284499828581e-05
18,101325,3170931.4939354,3.6284499828581e-05
19,101325,3083008.8928335,3.6284499828581e-05
20,101325,2996272.755621,3.6284499828581e-05
21,101325,2910674.9485872,3.6284499828581e-05
22,101325,2826184.0834674,3.6284499828581e-05
23,101325,2742784.6841679,3.6284499828581e-05
24,101325,2660475.4550568,3.6284499828581e-05
25,101325,2579267.3339581,3.6284499828581e-05
26,101325,2499181.6089864,3.6284499828581e-05
27,101325,2420248.1891362,3.6284499828581e-05
28,101325,2342504.0352519,3.6284499828581e-05
29,101325,2265991.7257652,3.6284499828581e-05
30,101325,2190758.1235207,3.6284499828581e-05
31,101325,2116853.1132344,3.6284499828581e-05
32,101325,2044328.3874182,3.6284499828581e-05
33,101325,1973236.2688597,3.6284499828581e-05
34,101325,1903628.5682159,3.6284499828581e-05
35,101325,1835555.4848132,3.6284499828581e-05
36,101325,1769064.5664281,3.6284499828581e-05
37,101325,1704199.7489899,3.6284499828581e-05
38,101325,1641000.4993527,3.6284499828581e-05
39,101325,1579501.0834476,3.6284499828581e-05
40,101325,1519729.9784885,3.6284499828581e-05
41,101325,1461709.4420696,3.6284499828581e-05
42,101325,1405455.2437857,3.6284499828581e-05
43,101325,1350976.5573514,3.6284499828581e-05
44,101325,1298276.0039786,3.6284499828581e-05
45,101325,1247349.8317044,3.6284499828581e-05
46,101325,1198188.2109052,3.6284499828581e-05
47,101325,1150775.623578,3.6284499828581e-05
48,101325,1105091.3230754,3.6284499828581e-05
49,101325,1061109.8416054,3.6284499828581e-05
50,101325,1018801.5246134,3.6284499828581e-05
51,101325,978133.43978239,3.6284499828581e-05
