particle_diameter_1
8e-06
1.1263157894736842e-05
1.4526315789473682e-05
1.7789473684210524e-05
2.1052631578947366e-05
2.4315789473684207e-05
2.757894736842105e-05
3.084210526315789e-05
3.410526315789473e-05
3.7368421052631575e-05
4.063157894736841e-05
4.389473684210525e-05
4.7157894736842094e-05
5.0421052631578936e-05
5.368421052631578e-05
5.694736842105262e-05
6.021052631578946e-05
6.347368421052631e-05
6.673684210526315e-05
7e-05
